# Start of simulation: Sat Mar 19 20:48:14 2016
beta,acc,obs
1,0.53451,7.67289
1,0.534872,7.6839
1,0.535273,7.68556
1,0.534946,7.68041
1,0.534601,7.66445
1,0.535682,7.68922
1,0.533862,7.67378
1,0.535034,7.68442
1,0.534882,7.6792
1,0.534843,7.66998
1,0.53466,7.67365
1,0.535391,7.68265
1,0.534153,7.68402
1,0.534924,7.68172
1,0.536683,7.67351
1.04,0.53148,7.69227
1.04,0.531102,7.68159
1.04,0.530809,7.68592
1.04,0.530651,7.67288
1.04,0.531842,7.69768
1.04,0.531625,7.68505
1.04,0.530702,7.66735
1.04,0.531778,7.69163
1.04,0.532398,7.68678
1.04,0.530528,7.67602
1.04,0.531106,7.68744
1.04,0.529678,7.68511
1.04,0.531169,7.67773
1.04,0.531099,7.68047
1.04,0.532466,7.69229
1.0816,0.528041,7.68117
1.0816,0.526049,7.68957
1.0816,0.52721,7.68368
1.0816,0.527445,7.69098
1.0816,0.527061,7.69094
1.0816,0.525688,7.67936
1.0816,0.527931,7.68731
1.0816,0.527388,7.67702
1.0816,0.528226,7.6959
1.0816,0.5274,7.6766
1.0816,0.527869,7.71194
1.0816,0.528688,7.69694
1.0816,0.527438,7.68553
1.0816,0.52613,7.66619
1.0816,0.526721,7.68865
1.12486,0.525,7.68913
1.12486,0.522681,7.67605
1.12486,0.523208,7.67876
1.12486,0.522366,7.67947
1.12486,0.52393,7.68734
1.12486,0.523295,7.6763
1.12486,0.523113,7.67879
1.12486,0.523818,7.68043
1.12486,0.522082,7.68104
1.12486,0.523747,7.70267
1.12486,0.522258,7.6879
1.12486,0.523518,7.69061
1.12486,0.523663,7.68407
1.12486,0.523746,7.68116
1.12486,0.522661,7.67788
1.16986,0.518355,7.68367
1.16986,0.518733,7.69435
1.16986,0.517946,7.68008
1.16986,0.518197,7.68674
1.16986,0.51899,7.69009
1.16986,0.518318,7.67198
1.16986,0.518221,7.6832
1.16986,0.51941,7.69444
1.16986,0.519883,7.68927
1.16986,0.519244,7.68044
1.16986,0.519163,7.68865
1.16986,0.519207,7.6879
1.16986,0.519918,7.70195
1.16986,0.518069,7.6701
1.16986,0.519713,7.68448
1.21665,0.515272,7.68911
1.21665,0.514867,7.68827
1.21665,0.515359,7.69646
1.21665,0.515619,7.69422
1.21665,0.514842,7.67135
1.21665,0.51495,7.66751
1.21665,0.514526,7.68102
1.21665,0.515403,7.68072
1.21665,0.515198,7.68583
1.21665,0.514915,7.67292
1.21665,0.515213,7.70312
1.21665,0.514469,7.68345
1.21665,0.515779,7.68094
1.21665,0.514597,7.68651
1.21665,0.514957,7.68941
1.26532,0.511383,7.68856
1.26532,0.511829,7.6916
1.26532,0.51102,7.70637
1.26532,0.512953,7.69449
1.26532,0.511339,7.68483
1.26532,0.51142,7.68934
1.26532,0.512114,7.69072
1.26532,0.510291,7.68427
1.26532,0.510962,7.69967
1.26532,0.509858,7.68255
1.26532,0.511622,7.70395
1.26532,0.511608,7.69307
1.26532,0.510514,7.6721
1.26532,0.511613,7.67118
1.26532,0.510448,7.6837
1.31593,0.507374,7.69544
1.31593,0.507162,7.69466
1.31593,0.50683,7.69936
1.31593,0.506956,7.68316
1.31593,0.507582,7.69914
1.31593,0.508048,7.69825
1.31593,0.50712,7.68772
1.31593,0.506454,7.68286
1.31593,0.507671,7.71285
1.31593,0.506293,7.68644
1.31593,0.505871,7.68955
1.31593,0.506702,7.68216
1.31593,0.506372,7.69508
1.31593,0.50678,7.69633
1.31593,0.507388,7.69193
1.36857,0.503015,7.69426
1.36857,0.501647,7.69549
1.36857,0.502284,7.69145
1.36857,0.502883,7.68836
1.36857,0.501352,7.68715
1.36857,0.502006,7.68115
1.36857,0.502396,7.67831
1.36857,0.502486,7.69032
1.36857,0.502399,7.68807
1.36857,0.503816,7.69965
1.36857,0.502471,7.69006
1.36857,0.501965,7.67981
1.36857,0.502736,7.68413
1.36857,0.503381,7.70267
1.36857,0.502097,7.69521
1.42331,0.49749,7.69384
1.42331,0.497547,7.69905
1.42331,0.498691,7.70434
1.42331,0.498073,7.7059
1.42331,0.498197,7.68396
1.42331,0.498446,7.68769
1.42331,0.498077,7.6817
1.42331,0.497795,7.68615
1.42331,0.498567,7.69999
1.42331,0.49827,7.66592
1.42331,0.497671,7.67462
1.42331,0.497692,7.67834
1.42331,0.498963,7.69086
1.42331,0.497732,7.69503
1.42331,0.498793,7.69144
1.48024,0.494691,7.69691
1.48024,0.494311,7.71145
1.48024,0.493251,7.69628
1.48024,0.495794,7.6831
1.48024,0.494215,7.69832
1.48024,0.495852,7.71579
1.48024,0.494381,7.68716
1.48024,0.493717,7.6988
1.48024,0.495259,7.71049
1.48024,0.493746,7.70096
1.48024,0.493234,7.69627
1.48024,0.494286,7.69415
1.48024,0.494012,7.67818
1.48024,0.494195,7.68069
1.48024,0.493477,7.68206
1.53945,0.490582,7.69978
1.53945,0.488359,7.68664
1.53945,0.489084,7.6733
1.53945,0.489462,7.69918
1.53945,0.489345,7.68887
1.53945,0.489001,7.69333
1.53945,0.489688,7.70507
1.53945,0.490156,7.69656
1.53945,0.490415,7.70143
1.53945,0.489581,7.69618
1.53945,0.490028,7.70057
1.53945,0.490322,7.68522
1.53945,0.490199,7.68205
1.53945,0.489717,7.69698
1.53945,0.489525,7.69754
1.60103,0.484754,7.69195
1.60103,0.484878,7.70337
1.60103,0.486297,7.70933
1.60103,0.48611,7.68642
1.60103,0.484416,7.69343
1.60103,0.484526,7.67199
1.60103,0.48593,7.69015
1.60103,0.485231,7.68463
1.60103,0.485472,7.68338
1.60103,0.485988,7.71355
1.60103,0.485558,7.70537
1.60103,0.484649,7.68744
1.60103,0.484989,7.69191
1.60103,0.485648,7.69909
1.60103,0.483322,7.67162
1.66507,0.481942,7.70203
1.66507,0.48048,7.68904
1.66507,0.481446,7.70454
1.66507,0.479812,7.68888
1.66507,0.480593,7.70253
1.66507,0.481088,7.69368
1.66507,0.480173,7.68884
1.66507,0.481943,7.71281
1.66507,0.480986,7.67728
1.66507,0.481186,7.69629
1.66507,0.480328,7.69908
1.66507,0.481436,7.69388
1.66507,0.481068,7.6883
1.66507,0.479864,7.67587
1.66507,0.47927,7.68414
1.73168,0.476552,7.7001
1.73168,0.476152,7.70124
1.73168,0.476447,7.69792
1.73168,0.477122,7.69516
1.73168,0.476039,7.69321
1.73168,0.47558,7.68748
1.73168,0.475789,7.70403
1.73168,0.476882,7.70659
1.73168,0.475171,7.67047
1.73168,0.477302,7.70642
1.73168,0.475808,7.68348
1.73168,0.4771,7.69394
1.73168,0.476742,7.68741
1.73168,0.476309,7.69563
1.73168,0.476639,7.70571
1.80094,0.472254,7.70157
1.80094,0.471943,7.70343
1.80094,0.470513,7.68816
1.80094,0.472535,7.69299
1.80094,0.471812,7.6817
1.80094,0.471828,7.69613
1.80094,0.472011,7.70266
1.80094,0.471063,7.69045
1.80094,0.471629,7.70239
1.80094,0.471385,7.69902
1.80094,0.470467,7.69107
1.80094,0.472282,7.71893
1.80094,0.471142,7.68492
1.80094,0.472326,7.70809
1.80094,0.470876,7.69697
1.87298,0.46661,7.69709
1.87298,0.466982,7.68577
1.87298,0.466602,7.69458
1.87298,0.466085,7.68097
1.87298,0.4672,7.70539
1.87298,0.466413,7.68811
1.87298,0.467454,7.69156
1.87298,0.466892,7.68879
1.87298,0.467197,7.69706
1.87298,0.466723,7.67964
1.87298,0.468176,7.71871
1.87298,0.465915,7.66932
1.87298,0.466952,7.70288
1.87298,0.466659,7.68932
1.87298,0.466832,7.69326
1.9479,0.461939,7.70105
1.9479,0.461624,7.69525
1.9479,0.46226,7.70608
1.9479,0.462338,7.70215
1.9479,0.462993,7.70768
1.9479,0.461999,7.69566
1.9479,0.46222,7.69603
1.9479,0.462146,7.69648
1.9479,0.462811,7.69569
1.9479,0.461109,7.6862
1.9479,0.462301,7.70532
1.9479,0.462242,7.70247
1.9479,0.462235,7.69993
1.9479,0.462055,7.69346
1.9479,0.462472,7.69344
2.02582,0.458662,7.69488
2.02582,0.45876,7.71944
2.02582,0.457544,7.68338
2.02582,0.457257,7.69396
2.02582,0.457438,7.69232
2.02582,0.459218,7.70218
2.02582,0.457814,7.70752
2.02582,0.457337,7.68918
2.02582,0.458669,7.69932
2.02582,0.457782,7.68713
2.02582,0.457086,7.6835
2.02582,0.457721,7.71053
2.02582,0.458835,7.70603
2.02582,0.458588,7.71299
2.02582,0.457052,7.6997
2.10685,0.453236,7.70069
2.10685,0.452013,7.68301
2.10685,0.452484,7.69251
2.10685,0.452343,7.68948
2.10685,0.453341,7.70881
2.10685,0.453814,7.69469
2.10685,0.453179,7.69017
2.10685,0.452335,7.69665
2.10685,0.452727,7.67956
2.10685,0.453133,7.69691
2.10685,0.453028,7.69293
2.10685,0.453026,7.72462
2.10685,0.452153,7.70838
2.10685,0.451708,7.6809
2.10685,0.454357,7.70942
2.19112,0.447896,7.70632
2.19112,0.447478,7.68445
2.19112,0.447688,7.69824
2.19112,0.448556,7.693
2.19112,0.44796,7.68559
2.19112,0.44743,7.6928
2.19112,0.447205,7.69337
2.19112,0.447469,7.69182
2.19112,0.447332,7.68265
2.19112,0.447775,7.69799
2.19112,0.446853,7.687
2.19112,0.447662,7.70466
2.19112,0.448488,7.70044
2.19112,0.447209,7.68271
2.19112,0.448408,7.69858
2.27877,0.442804,7.70965
2.27877,0.442398,7.68502
2.27877,0.442745,7.69078
2.27877,0.442523,7.69416
2.27877,0.442785,7.70191
2.27877,0.443562,7.69641
2.27877,0.442145,7.69003
2.27877,0.444042,7.69597
2.27877,0.44352,7.69902
2.27877,0.443481,7.69056
2.27877,0.442929,7.71532
2.27877,0.443788,7.69398
2.27877,0.44442,7.69525
2.27877,0.443879,7.70744
2.27877,0.443784,7.71378
2.36992,0.437154,7.69481
2.36992,0.437286,7.67015
2.36992,0.43781,7.69611
2.36992,0.438289,7.69589
2.36992,0.437326,7.69974
2.36992,0.438237,7.70248
2.36992,0.437041,7.68315
2.36992,0.438504,7.68532
2.36992,0.438515,7.70848
2.36992,0.438179,7.7031
2.36992,0.438585,7.68745
2.36992,0.437676,7.70275
2.36992,0.438012,7.69809
2.36992,0.440302,7.72217
2.36992,0.436975,7.67895
2.46472,0.433424,7.69265
2.46472,0.433896,7.70984
2.46472,0.431815,7.68051
2.46472,0.433704,7.7005
2.46472,0.432159,7.69601
2.46472,0.432784,7.68789
2.46472,0.43324,7.68418
2.46472,0.432396,7.70283
2.46472,0.432848,7.68269
2.46472,0.43322,7.69331
2.46472,0.434101,7.70062
2.46472,0.432946,7.69977
2.46472,0.431736,7.69449
2.46472,0.431815,7.68412
2.46472,0.431217,7.69254
2.5633,0.428847,7.70534
2.5633,0.42822,7.70296
2.5633,0.427389,7.69291
2.5633,0.428092,7.68395
2.5633,0.427901,7.70142
2.5633,0.428419,7.69055
2.5633,0.428307,7.68217
2.5633,0.428672,7.69806
2.5633,0.427097,7.67776
2.5633,0.42812,7.68741
2.5633,0.427333,7.69963
2.5633,0.428633,7.70097
2.5633,0.42697,7.67328
2.5633,0.427053,7.69284
2.5633,0.430161,7.70877
2.66584,0.4222,7.68514
2.66584,0.422478,7.70279
2.66584,0.422747,7.71017
2.66584,0.42189,7.69828
2.66584,0.422372,7.69913
2.66584,0.421741,7.6836
2.66584,0.423072,7.69583
2.66584,0.421214,7.69457
2.66584,0.423231,7.69411
2.66584,0.423888,7.69442
2.66584,0.423264,7.71041
2.66584,0.422401,7.6968
2.66584,0.423834,7.71112
2.66584,0.421882,7.69275
2.66584,0.422918,7.70347
2.77247,0.416558,7.68345
2.77247,0.41721,7.69645
2.77247,0.417447,7.70029
2.77247,0.417208,7.68978
2.77247,0.417778,7.68994
2.77247,0.41735,7.69804
2.77247,0.41706,7.68429
2.77247,0.417903,7.68064
2.77247,0.419244,7.70352
2.77247,0.417111,7.6934
2.77247,0.41842,7.71291
2.77247,0.417495,7.70054
2.77247,0.419014,7.68855
2.77247,0.417297,7.69199
2.77247,0.417499,7.71129
2.88337,0.412344,7.7003
2.88337,0.412186,7.69164
2.88337,0.412436,7.68283
2.88337,0.412903,7.69272
2.88337,0.413121,7.68802
2.88337,0.413047,7.68851
2.88337,0.411072,7.70012
2.88337,0.413156,7.69019
2.88337,0.4133,7.70645
2.88337,0.412744,7.6975
2.88337,0.412271,7.69034
2.88337,0.411966,7.70146
2.88337,0.411915,7.69465
2.88337,0.411579,7.68899
2.88337,0.413159,7.68926
2.9987,0.405732,7.68154
2.9987,0.406424,7.67797
2.9987,0.407355,7.6899
2.9987,0.407275,7.68524
2.9987,0.405797,7.67634
2.9987,0.408423,7.7035
2.9987,0.406835,7.68091
2.9987,0.406453,7.68696
2.9987,0.407779,7.69145
2.9987,0.40634,7.71328
2.9987,0.406012,7.67389
2.9987,0.407536,7.69056
2.9987,0.407114,7.71004
2.9987,0.407302,7.7039
2.9987,0.407247,7.68934
3.11865,0.401386,7.68509
3.11865,0.402215,7.69597
3.11865,0.402031,7.68658
3.11865,0.402093,7.69315
3.11865,0.401913,7.69206
3.11865,0.402015,7.68464
3.11865,0.401434,7.6935
3.11865,0.402192,7.68661
3.11865,0.401071,7.67957
3.11865,0.402395,7.69348
3.11865,0.401965,7.69652
3.11865,0.402121,7.67559
3.11865,0.400845,7.67378
3.11865,0.401095,7.6912
3.11865,0.401342,7.68621
3.2434,0.39664,7.68868
3.2434,0.396601,7.68759
3.2434,0.396652,7.68913
3.2434,0.395373,7.66816
3.2434,0.39661,7.69922
3.2434,0.396473,7.67786
3.2434,0.396826,7.70269
3.2434,0.394941,7.67505
3.2434,0.394704,7.68929
3.2434,0.397144,7.70477
3.2434,0.395597,7.69027
3.2434,0.397012,7.68239
3.2434,0.39659,7.68582
3.2434,0.396546,7.689
3.2434,0.396228,7.68458
3.37313,0.391324,7.684
3.37313,0.390641,7.68545
3.37313,0.390964,7.69002
3.37313,0.39195,7.69219
3.37313,0.392111,7.69734
3.37313,0.391365,7.68236
3.37313,0.390813,7.69416
3.37313,0.389738,7.67175
3.37313,0.392286,7.68572
3.37313,0.389797,7.6814
3.37313,0.391955,7.69132
3.37313,0.390586,7.68133
3.37313,0.392325,7.68357
3.37313,0.390119,7.67952
3.37313,0.391357,7.70417
3.50806,0.38461,7.69732
3.50806,0.385916,7.68518
3.50806,0.385922,7.68453
3.50806,0.38533,7.68751
3.50806,0.386291,7.68255
3.50806,0.385792,7.68815
3.50806,0.386468,7.69204
3.50806,0.384494,7.67593
3.50806,0.38562,7.68592
3.50806,0.386317,7.68608
3.50806,0.386011,7.69675
3.50806,0.385312,7.69125
3.50806,0.384644,7.69501
3.50806,0.385983,7.68568
3.50806,0.38478,7.69251
3.64838,0.380032,7.68975
3.64838,0.381637,7.69449
3.64838,0.380332,7.67626
3.64838,0.378778,7.67728
3.64838,0.378985,7.6857
3.64838,0.380411,7.67744
3.64838,0.37925,7.69162
3.64838,0.380459,7.69026
3.64838,0.381354,7.68843
3.64838,0.380159,7.70293
3.64838,0.379493,7.67573
3.64838,0.379659,7.66807
3.64838,0.379051,7.69235
3.64838,0.37916,7.66981
3.64838,0.38044,7.68898
3.79432,0.37462,7.67543
3.79432,0.374259,7.69051
3.79432,0.374262,7.68356
3.79432,0.374777,7.68796
3.79432,0.372667,7.66588
3.79432,0.374012,7.68191
3.79432,0.374207,7.66649
3.79432,0.373855,7.69394
3.79432,0.374788,7.69332
3.79432,0.37407,7.67928
3.79432,0.374568,7.679
3.79432,0.373267,7.6928
3.79432,0.373804,7.68555
3.79432,0.373351,7.67631
3.79432,0.374829,7.68456
3.94609,0.369194,7.68838
3.94609,0.36947,7.66561
3.94609,0.368578,7.68764
3.94609,0.368888,7.67407
3.94609,0.367738,7.69112
