# Start of simulation: Thu Mar 17 22:35:44 2016
beta,acc,obs
1,0.534173,7.67739
1,0.53429,7.682
1,0.535031,7.67638
1,0.535974,7.67787
1,0.535065,7.67509
1,0.535205,7.68013
1,0.535328,7.68768
1,0.535633,7.69895
1,0.535592,7.66981
1,0.534871,7.67656
1,0.535434,7.68772
1,0.534894,7.68274
1,0.534823,7.66761
1,0.534978,7.67066
1,0.536133,7.68269
1.04,0.52932,7.67086
1.04,0.531262,7.68324
1.04,0.53103,7.68248
1.04,0.532182,7.69051
1.04,0.531089,7.67717
1.04,0.531608,7.68674
1.04,0.530299,7.69281
1.04,0.530054,7.68103
1.04,0.530462,7.68554
1.04,0.532331,7.67002
1.04,0.530373,7.66937
1.04,0.531102,7.6854
1.04,0.531859,7.67484
1.04,0.530814,7.68582
1.04,0.530526,7.66483
1.0816,0.527411,7.6875
1.0816,0.526915,7.66393
1.0816,0.527494,7.6825
1.0816,0.526615,7.67238
1.0816,0.527334,7.69004
1.0816,0.52681,7.68246
1.0816,0.526608,7.67444
1.0816,0.527631,7.68936
1.0816,0.526886,7.68006
1.0816,0.528235,7.68723
1.0816,0.52742,7.67135
1.0816,0.527071,7.68155
1.0816,0.527789,7.69583
1.0816,0.527418,7.67436
1.0816,0.527052,7.68181
1.12486,0.523825,7.69159
1.12486,0.523137,7.68493
1.12486,0.523674,7.67815
1.12486,0.522791,7.68657
1.12486,0.521686,7.67757
1.12486,0.522581,7.67693
1.12486,0.522559,7.68116
1.12486,0.524162,7.68396
1.12486,0.522603,7.66888
1.12486,0.52188,7.67093
1.12486,0.523611,7.70147
1.12486,0.523981,7.69022
1.12486,0.523032,7.68539
1.12486,0.522154,7.68433
1.12486,0.522935,7.69079
1.16986,0.519335,7.68046
1.16986,0.518913,7.68733
1.16986,0.518768,7.68445
1.16986,0.52042,7.68697
1.16986,0.518889,7.68581
1.16986,0.518802,7.67354
1.16986,0.518638,7.69722
1.16986,0.51858,7.69131
1.16986,0.519151,7.69884
1.16986,0.51934,7.68368
1.16986,0.520526,7.67718
1.16986,0.518488,7.66968
1.16986,0.520351,7.70038
1.16986,0.519209,7.69144
1.16986,0.519338,7.68788
1.21665,0.51625,7.68678
1.21665,0.515644,7.67993
1.21665,0.514933,7.6802
1.21665,0.514174,7.67519
1.21665,0.514891,7.67865
1.21665,0.515156,7.68072
1.21665,0.514289,7.67974
1.21665,0.51435,7.6748
1.21665,0.514611,7.68692
1.21665,0.515559,7.68311
1.21665,0.515234,7.6952
1.21665,0.515864,7.6894
1.21665,0.51403,7.66925
1.21665,0.513764,7.68406
1.21665,0.515181,7.69439
1.26532,0.511073,7.68412
1.26532,0.51018,7.69679
1.26532,0.51271,7.68813
1.26532,0.510897,7.68247
1.26532,0.510222,7.69609
1.26532,0.511013,7.68041
1.26532,0.511818,7.69735
1.26532,0.512164,7.69417
1.26532,0.510374,7.6807
1.26532,0.510246,7.68389
1.26532,0.510879,7.68223
1.26532,0.511597,7.69139
1.26532,0.510047,7.68674
1.26532,0.511325,7.69046
1.26532,0.510422,7.68455
1.31593,0.507278,7.69919
1.31593,0.506943,7.6937
1.31593,0.50757,7.68575
1.31593,0.505961,7.67862
1.31593,0.50672,7.68394
1.31593,0.506449,7.68677
1.31593,0.506239,7.69281
1.31593,0.506574,7.68192
1.31593,0.50643,7.69552
1.31593,0.506319,7.66944
1.31593,0.505662,7.67642
1.31593,0.506283,7.68373
1.31593,0.506221,7.68339
1.31593,0.507175,7.6863
1.31593,0.505944,7.66216
1.36857,0.502217,7.681
1.36857,0.50356,7.70455
1.36857,0.504039,7.69525
1.36857,0.502562,7.68545
1.36857,0.503803,7.69581
1.36857,0.501094,7.67461
1.36857,0.500438,7.66206
1.36857,0.502576,7.68837
1.36857,0.504129,7.69697
1.36857,0.503031,7.69608
1.36857,0.50315,7.69074
1.36857,0.501072,7.68606
1.36857,0.502104,7.69804
1.36857,0.501976,7.68188
1.36857,0.50242,7.69085
1.42331,0.498271,7.68279
1.42331,0.498267,7.68454
1.42331,0.496999,7.6756
1.42331,0.498428,7.69162
1.42331,0.498023,7.68822
1.42331,0.498797,7.69528
1.42331,0.498681,7.69029
1.42331,0.498939,7.70785
1.42331,0.498309,7.70274
1.42331,0.499029,7.69878
1.42331,0.499025,7.70243
1.42331,0.498533,7.69609
1.42331,0.498204,7.6795
1.42331,0.497595,7.6828
1.42331,0.49721,7.69233
1.48024,0.49552,7.69098
1.48024,0.494486,7.69344
1.48024,0.493021,7.69104
1.48024,0.494853,7.70083
1.48024,0.495622,7.69827
1.48024,0.493319,7.67464
1.48024,0.494606,7.68249
1.48024,0.493483,7.68838
1.48024,0.493208,7.68014
1.48024,0.493491,7.68268
1.48024,0.493323,7.70221
1.48024,0.494027,7.70058
1.48024,0.495051,7.69012
1.48024,0.493493,7.68209
1.48024,0.494659,7.70183
1.53945,0.490047,7.69827
1.53945,0.488838,7.68484
1.53945,0.489764,7.68663
1.53945,0.489885,7.67542
1.53945,0.48888,7.69575
1.53945,0.490553,7.70677
1.53945,0.489284,7.69246
1.53945,0.489051,7.68488
1.53945,0.489888,7.69188
1.53945,0.489475,7.67471
1.53945,0.489468,7.69251
1.53945,0.488647,7.68025
1.53945,0.489083,7.69107
1.53945,0.488658,7.67398
1.53945,0.490597,7.70745
1.60103,0.484973,7.69631
1.60103,0.484764,7.68258
1.60103,0.484717,7.69518
1.60103,0.483657,7.66838
1.60103,0.486064,7.6913
1.60103,0.485549,7.68928
1.60103,0.485664,7.69024
1.60103,0.485571,7.68576
1.60103,0.485546,7.69669
1.60103,0.485058,7.70035
1.60103,0.485646,7.69975
1.60103,0.485472,7.69037
1.60103,0.484779,7.68272
1.60103,0.486079,7.69024
1.60103,0.485466,7.7035
1.66507,0.480821,7.69752
1.66507,0.480745,7.71618
1.66507,0.481456,7.69532
1.66507,0.481854,7.7001
1.66507,0.480558,7.6864
1.66507,0.481094,7.69081
1.66507,0.48007,7.67574
1.66507,0.481163,7.70461
1.66507,0.481566,7.69565
1.66507,0.480906,7.70274
1.66507,0.479008,7.67968
1.66507,0.480269,7.69
1.66507,0.479797,7.69127
1.66507,0.479036,7.68359
1.66507,0.480008,7.69954
1.73168,0.475564,7.68967
1.73168,0.47621,7.69432
1.73168,0.476695,7.68989
1.73168,0.476406,7.68478
1.73168,0.475491,7.69698
1.73168,0.476426,7.70383
1.73168,0.476175,7.69764
1.73168,0.476494,7.69338
1.73168,0.476231,7.69631
1.73168,0.475596,7.68083
1.73168,0.475081,7.67949
1.73168,0.476417,7.69538
1.73168,0.475301,7.69253
1.73168,0.475659,7.69432
1.73168,0.475336,7.69507
1.80094,0.470848,7.69592
1.80094,0.472126,7.72099
1.80094,0.47239,7.70258
1.80094,0.470545,7.69657
1.80094,0.472139,7.69512
1.80094,0.470655,7.69568
1.80094,0.472813,7.70462
1.80094,0.472014,7.70051
1.80094,0.47195,7.71333
1.80094,0.470527,7.67729
1.80094,0.47311,7.71321
1.80094,0.47256,7.69891
1.80094,0.473276,7.70498
1.80094,0.472478,7.69761
1.80094,0.472015,7.70079
1.87298,0.466579,7.69094
1.87298,0.466666,7.71941
1.87298,0.467554,7.69512
1.87298,0.466799,7.69231
1.87298,0.468153,7.69619
1.87298,0.467235,7.69872
1.87298,0.466725,7.68889
1.87298,0.467812,7.69228
1.87298,0.467717,7.68634
1.87298,0.467749,7.70471
1.87298,0.467494,7.70265
1.87298,0.468162,7.72849
1.87298,0.46721,7.69728
1.87298,0.467005,7.70278
1.87298,0.466604,7.69916
1.9479,0.462002,7.70349
1.9479,0.462436,7.69429
1.9479,0.462767,7.69706
1.9479,0.462243,7.69834
1.9479,0.462255,7.70362
1.9479,0.462555,7.69185
1.9479,0.461653,7.69393
1.9479,0.462243,7.69999
1.9479,0.461778,7.68525
1.9479,0.46155,7.68577
1.9479,0.461869,7.68476
1.9479,0.462184,7.69614
1.9479,0.462452,7.69908
1.9479,0.461615,7.71094
1.9479,0.461935,7.69975
2.02582,0.457511,7.69796
2.02582,0.458709,7.70631
2.02582,0.45787,7.6891
2.02582,0.456888,7.68819
2.02582,0.458841,7.69486
2.02582,0.457426,7.69328
2.02582,0.458513,7.69605
2.02582,0.457962,7.70532
2.02582,0.457566,7.70193
2.02582,0.458684,7.70313
2.02582,0.457289,7.70505
2.02582,0.457202,7.69884
2.02582,0.457688,7.6955
2.02582,0.458043,7.70187
2.02582,0.457874,7.69893
2.10685,0.453042,7.68459
2.10685,0.45317,7.68849
2.10685,0.451825,7.69323
2.10685,0.453457,7.70762
2.10685,0.453636,7.70488
2.10685,0.454945,7.69362
2.10685,0.451863,7.69909
2.10685,0.452411,7.69041
2.10685,0.453541,7.70005
2.10685,0.453039,7.70437
2.10685,0.453113,7.70428
2.10685,0.45312,7.70203
2.10685,0.453038,7.6874
2.10685,0.45278,7.69211
2.10685,0.452152,7.69114
2.19112,0.448322,7.69744
2.19112,0.448476,7.69885
2.19112,0.448364,7.69477
2.19112,0.447676,7.70098
2.19112,0.448467,7.70204
2.19112,0.448253,7.71884
2.19112,0.447625,7.697
2.19112,0.44754,7.69766
2.19112,0.448083,7.70248
2.19112,0.44797,7.70329
2.19112,0.448133,7.70225
2.19112,0.447177,7.68422
