# Start of simulation: Sun Mar 20 16:12:20 2016
beta,acc,obs
1,0.628127,5.01407
1,0.628534,5.01751
1,0.628822,5.01665
1,0.628122,5.0151
1,0.628591,5.01179
1,0.628149,5.01894
1,0.629157,5.01488
1,0.628805,5.01269
1,0.628067,5.01167
1,0.627866,5.01457
1,0.62853,5.01839
1,0.628257,5.01381
1,0.628921,5.01396
1,0.629113,5.01767
1,0.628389,5.01727
1.04,0.623492,5.01821
1.04,0.62285,5.01606
1.04,0.623058,5.02068
1.04,0.623658,5.01492
1.04,0.624052,5.01287
1.04,0.624443,5.01211
1.04,0.623802,5.01961
1.04,0.622931,5.01377
1.04,0.623467,5.00995
1.04,0.623674,5.01764
1.04,0.623366,5.01454
1.04,0.623235,5.01993
1.04,0.623017,5.00888
1.04,0.623391,5.01394
1.04,0.622666,5.01191
1.0816,0.618255,5.01953
1.0816,0.61794,5.01443
1.0816,0.618858,5.01858
1.0816,0.618779,5.01848
1.0816,0.618377,5.01837
1.0816,0.617368,5.01528
1.0816,0.617463,5.02282
1.0816,0.617866,5.01479
1.0816,0.6172,5.01906
1.0816,0.618326,5.01499
1.0816,0.618684,5.0159
1.0816,0.618679,5.02055
1.0816,0.618641,5.01564
1.0816,0.618839,5.01607
1.0816,0.618519,5.02141
1.12486,0.613449,5.01673
1.12486,0.612822,5.01443
1.12486,0.613095,5.016
1.12486,0.613835,5.01898
1.12486,0.613552,5.01485
1.12486,0.612556,5.0155
1.12486,0.614223,5.01787
1.12486,0.612984,5.01785
1.12486,0.612928,5.01665
1.12486,0.613049,5.0141
1.12486,0.612815,5.01744
1.12486,0.613454,5.0165
1.12486,0.613082,5.01836
1.12486,0.612286,5.01648
1.12486,0.61295,5.01944
1.16986,0.607657,5.01836
1.16986,0.608764,5.01507
1.16986,0.60809,5.02163
1.16986,0.607329,5.02034
1.16986,0.608666,5.02057
1.16986,0.608737,5.02225
1.16986,0.608442,5.01848
1.16986,0.607576,5.018
1.16986,0.6074,5.02035
1.16986,0.608701,5.02032
1.16986,0.607038,5.0184
1.16986,0.608148,5.02666
1.16986,0.608239,5.01781
1.16986,0.607643,5.02184
1.16986,0.608972,5.02115
1.21665,0.602991,5.02086
1.21665,0.601614,5.01421
1.21665,0.603916,5.02272
1.21665,0.602089,5.01674
1.21665,0.60343,5.0287
1.21665,0.602485,5.01971
1.21665,0.602122,5.0199
1.21665,0.602611,5.01968
1.21665,0.601719,5.01623
1.21665,0.602314,5.02158
1.21665,0.603247,5.01494
1.21665,0.603124,5.01573
1.21665,0.603083,5.01828
1.21665,0.602241,5.02082
1.21665,0.603261,5.02176
1.26532,0.597426,5.01924
1.26532,0.598077,5.02255
1.26532,0.598249,5.02017
1.26532,0.597815,5.02
1.26532,0.596921,5.02004
1.26532,0.597532,5.02147
1.26532,0.597044,5.01985
1.26532,0.596779,5.02481
1.26532,0.597316,5.02095
1.26532,0.598143,5.02505
1.26532,0.596217,5.01853
1.26532,0.59668,5.01703
1.26532,0.596429,5.02167
1.26532,0.596863,5.01996
1.26532,0.597118,5.01869
1.31593,0.590923,5.01749
1.31593,0.592301,5.01936
1.31593,0.59242,5.02007
1.31593,0.590025,5.02183
1.31593,0.591594,5.02116
1.31593,0.591595,5.02387
1.31593,0.591984,5.02442
1.31593,0.591942,5.02135
1.31593,0.591925,5.02282
1.31593,0.592516,5.01816
1.31593,0.591196,5.02162
1.31593,0.592193,5.02324
1.31593,0.589667,5.01468
1.31593,0.592441,5.02345
1.31593,0.593129,5.02958
1.36857,0.586831,5.02665
1.36857,0.586823,5.02474
1.36857,0.586334,5.02355
1.36857,0.586459,5.02453
1.36857,0.585239,5.01767
1.36857,0.585862,5.02362
1.36857,0.586393,5.02826
1.36857,0.586209,5.02544
1.36857,0.586807,5.02414
1.36857,0.585656,5.01504
1.36857,0.585675,5.02249
1.36857,0.587196,5.02309
1.36857,0.586241,5.02133
1.36857,0.586663,5.02622
1.36857,0.585381,5.01966
1.42331,0.580911,5.02599
1.42331,0.581108,5.02611
1.42331,0.581041,5.02649
1.42331,0.580405,5.02231
1.42331,0.580836,5.02358
1.42331,0.581162,5.02387
1.42331,0.581014,5.02651
1.42331,0.580185,5.02363
1.42331,0.581311,5.02451
1.42331,0.581024,5.02289
1.42331,0.580418,5.0217
1.42331,0.579884,5.02222
1.42331,0.580189,5.02508
1.42331,0.581089,5.02371
1.42331,0.58052,5.02127
1.48024,0.573986,5.0215
1.48024,0.574321,5.02665
1.48024,0.574159,5.02379
1.48024,0.574341,5.02279
1.48024,0.575532,5.02815
1.48024,0.574769,5.02246
1.48024,0.574694,5.02216
1.48024,0.575042,5.02439
1.48024,0.573423,5.02353
1.48024,0.574664,5.0261
1.48024,0.573745,5.01772
1.48024,0.574451,5.02381
1.48024,0.573989,5.02264
1.48024,0.574417,5.01677
1.48024,0.574271,5.01898
1.53945,0.569118,5.02203
1.53945,0.568502,5.02685
1.53945,0.568462,5.02868
1.53945,0.568712,5.0247
1.53945,0.568538,5.02432
1.53945,0.568283,5.02278
1.53945,0.569282,5.02756
1.53945,0.568,5.02021
1.53945,0.568035,5.02272
1.53945,0.569603,5.03364
1.53945,0.56818,5.02641
1.53945,0.567811,5.02027
1.53945,0.569897,5.03018
1.53945,0.569741,5.02003
1.53945,0.568938,5.02076
1.60103,0.564148,5.02599
1.60103,0.563524,5.02493
1.60103,0.563428,5.03209
1.60103,0.563385,5.02501
1.60103,0.564067,5.02867
1.60103,0.563383,5.02691
1.60103,0.562574,5.02443
1.60103,0.562088,5.02144
1.60103,0.563611,5.0238
1.60103,0.562994,5.02089
1.60103,0.562141,5.02017
1.60103,0.564741,5.0301
1.60103,0.563727,5.02795
1.60103,0.562396,5.02311
