# Start of simulation: Mon Mar 21 09:08:44 2016
beta,acc,obs
1,0.627507,5.01106
1,0.629819,5.02126
1,0.628426,5.00873
1,0.627733,5.0137
1,0.628551,5.01202
1,0.628347,5.01008
1,0.62861,5.01266
1,0.627417,5.01246
1,0.628669,5.01475
1,0.627921,5.01081
1,0.629307,5.01711
1,0.628057,5.02031
1,0.628488,5.02181
1,0.628398,5.01821
1,0.627975,5.01582
1.04,0.623663,5.01621
1.04,0.622863,5.01653
1.04,0.624181,5.01597
1.04,0.623365,5.01446
1.04,0.62225,5.01566
1.04,0.622456,5.01397
1.04,0.623261,5.01701
1.04,0.622574,5.00922
1.04,0.623609,5.0147
1.04,0.624855,5.02451
1.04,0.623949,5.01917
1.04,0.622841,5.01824
1.04,0.624404,5.01538
1.04,0.623016,5.01573
1.04,0.624484,5.02066
1.0816,0.61801,5.01962
1.0816,0.618838,5.01729
1.0816,0.618144,5.01781
1.0816,0.61799,5.0177
1.0816,0.618632,5.02323
1.0816,0.618411,5.01217
1.0816,0.618915,5.01551
1.0816,0.618416,5.01723
1.0816,0.618276,5.01564
1.0816,0.617952,5.01773
1.0816,0.617719,5.01824
1.0816,0.617641,5.01371
1.0816,0.618415,5.01808
1.0816,0.617736,5.01295
1.0816,0.617921,5.02019
1.12486,0.612828,5.01595
1.12486,0.613268,5.02141
1.12486,0.612939,5.01843
1.12486,0.612241,5.01239
1.12486,0.613265,5.01868
1.12486,0.613777,5.01891
1.12486,0.613265,5.0182
1.12486,0.613706,5.02023
1.12486,0.613535,5.01542
1.12486,0.613242,5.01689
1.12486,0.613121,5.01949
1.12486,0.613169,5.01759
1.12486,0.61261,5.0173
1.12486,0.613035,5.01678
1.12486,0.612824,5.01823
1.16986,0.607707,5.01869
1.16986,0.60772,5.01588
1.16986,0.608345,5.01719
1.16986,0.606817,5.01949
1.16986,0.607308,5.0183
1.16986,0.6082,5.02014
1.16986,0.607586,5.01728
1.16986,0.608124,5.02539
1.16986,0.607632,5.01409
1.16986,0.607568,5.01965
1.16986,0.607796,5.01734
1.16986,0.606745,5.02071
1.16986,0.608191,5.02015
1.16986,0.607519,5.01902
1.16986,0.607341,5.01544
1.21665,0.60285,5.01825
1.21665,0.602229,5.01959
1.21665,0.601908,5.01913
1.21665,0.602247,5.01823
1.21665,0.602396,5.01531
1.21665,0.602684,5.01611
1.21665,0.602836,5.02011
1.21665,0.601902,5.01692
1.21665,0.603122,5.02535
1.21665,0.602342,5.02198
1.21665,0.601998,5.01342
1.21665,0.602149,5.02095
1.21665,0.602909,5.02109
1.21665,0.603085,5.01985
1.21665,0.601811,5.01624
1.26532,0.597871,5.01504
1.26532,0.597151,5.02131
1.26532,0.597268,5.0192
1.26532,0.596695,5.01858
1.26532,0.596772,5.02021
1.26532,0.595616,5.01278
1.26532,0.597477,5.01795
1.26532,0.597462,5.02099
1.26532,0.597214,5.02079
1.26532,0.597925,5.02132
1.26532,0.597671,5.02405
1.26532,0.597983,5.02818
1.26532,0.597663,5.02119
1.26532,0.597184,5.02096
1.26532,0.597027,5.02172
1.31593,0.592559,5.01946
1.31593,0.591465,5.02012
1.31593,0.592114,5.02144
1.31593,0.591745,5.02103
1.31593,0.590732,5.02046
1.31593,0.590815,5.01805
1.31593,0.591974,5.01889
1.31593,0.591442,5.02428
1.31593,0.592635,5.02267
1.31593,0.591263,5.0232
1.31593,0.592295,5.01783
1.31593,0.592036,5.0218
1.31593,0.592169,5.02319
1.31593,0.591068,5.01796
1.31593,0.591829,5.01922
1.36857,0.586211,5.0191
1.36857,0.58443,5.02343
1.36857,0.586314,5.02118
1.36857,0.585996,5.02066
1.36857,0.585296,5.02004
1.36857,0.585986,5.02594
1.36857,0.586528,5.02351
1.36857,0.585603,5.02561
1.36857,0.586215,5.02626
1.36857,0.586258,5.01934
1.36857,0.585817,5.02337
1.36857,0.58633,5.02284
1.36857,0.586236,5.02117
1.36857,0.585599,5.01552
1.36857,0.586971,5.02257
1.42331,0.579827,5.02056
1.42331,0.581033,5.03324
1.42331,0.580459,5.02071
1.42331,0.580753,5.02273
1.42331,0.580118,5.02115
1.42331,0.580421,5.01543
1.42331,0.580197,5.02692
1.42331,0.580335,5.02365
1.42331,0.580092,5.02664
1.42331,0.580138,5.01978
1.42331,0.579817,5.02611
1.42331,0.580363,5.02174
1.42331,0.580884,5.02326
1.42331,0.580431,5.02143
1.42331,0.581022,5.02345
1.48024,0.574063,5.02462
1.48024,0.575169,5.02453
1.48024,0.575204,5.02073
1.48024,0.574663,5.02409
1.48024,0.573731,5.02042
1.48024,0.574963,5.02812
1.48024,0.575812,5.02391
1.48024,0.575586,5.02748
1.48024,0.574267,5.02664
1.48024,0.575243,5.02795
1.48024,0.574973,5.02613
1.48024,0.575425,5.02728
1.48024,0.574332,5.02272
1.48024,0.575166,5.02577
1.48024,0.573933,5.01848
1.53945,0.568447,5.02275
1.53945,0.56983,5.0242
1.53945,0.568929,5.02427
1.53945,0.569412,5.02895
1.53945,0.568518,5.01896
1.53945,0.569636,5.02413
1.53945,0.568506,5.02016
1.53945,0.568726,5.01956
1.53945,0.569206,5.0223
1.53945,0.567896,5.02314
1.53945,0.570035,5.02591
1.53945,0.569425,5.02065
1.53945,0.569374,5.02212
1.53945,0.569547,5.02602
1.53945,0.568381,5.02474
1.60103,0.563797,5.02829
1.60103,0.562172,5.02531
1.60103,0.56235,5.02064
1.60103,0.56284,5.02572
1.60103,0.562095,5.02575
1.60103,0.562176,5.01559
1.60103,0.563227,5.02286
1.60103,0.562196,5.02632
1.60103,0.562652,5.02482
1.60103,0.564162,5.02639
1.60103,0.562782,5.02344
1.60103,0.562465,5.02531
1.60103,0.563179,5.02562
1.60103,0.563128,5.02448
1.60103,0.563191,5.02276
1.66507,0.556532,5.02454
1.66507,0.556957,5.02545
1.66507,0.557746,5.02905
1.66507,0.556824,5.02983
1.66507,0.556658,5.02577
1.66507,0.557876,5.02655
1.66507,0.556385,5.02074
1.66507,0.556292,5.02897
1.66507,0.557179,5.02476
1.66507,0.557036,5.02634
1.66507,0.558297,5.0287
1.66507,0.556803,5.0221
1.66507,0.556754,5.02169
1.66507,0.556279,5.02303
1.66507,0.556985,5.02398
1.73168,0.550107,5.02708
1.73168,0.550098,5.02359
1.73168,0.550205,5.02804
1.73168,0.551227,5.02817
1.73168,0.550137,5.02343
1.73168,0.551071,5.02532
1.73168,0.550517,5.03057
1.73168,0.550674,5.02422
1.73168,0.551176,5.02443
1.73168,0.551286,5.02677
1.73168,0.551088,5.02244
1.73168,0.55081,5.01964
1.73168,0.550361,5.02509
1.73168,0.550952,5.03013
1.73168,0.550322,5.01815
1.80094,0.546142,5.03349
1.80094,0.544903,5.02535
1.80094,0.544971,5.02389
1.80094,0.544471,5.02457
1.80094,0.544532,5.02619
1.80094,0.545526,5.02864
1.80094,0.545906,5.02674
1.80094,0.545431,5.02755
1.80094,0.545135,5.02408
1.80094,0.544288,5.02528
1.80094,0.54558,5.02626
1.80094,0.545334,5.03418
1.80094,0.544648,5.02705
1.80094,0.544864,5.02347
1.80094,0.544882,5.02525
1.87298,0.53878,5.0235
1.87298,0.538661,5.02559
1.87298,0.539093,5.02466
1.87298,0.538299,5.02892
1.87298,0.538606,5.02552
1.87298,0.537542,5.02445
1.87298,0.539161,5.02284
1.87298,0.5383,5.02538
1.87298,0.539733,5.02951
1.87298,0.537304,5.02325
1.87298,0.53858,5.02627
1.87298,0.538298,5.02649
1.87298,0.539574,5.03189
1.87298,0.538172,5.0286
1.87298,0.538324,5.02668
1.9479,0.532683,5.03407
1.9479,0.531985,5.02934
1.9479,0.531865,5.02324
1.9479,0.531901,5.01994
1.9479,0.531345,5.02185
1.9479,0.532786,5.02853
1.9479,0.532329,5.02338
1.9479,0.53299,5.02596
1.9479,0.532282,5.02334
1.9479,0.532922,5.02541
1.9479,0.532454,5.02249
1.9479,0.531508,5.02418
1.9479,0.532675,5.03289
1.9479,0.532908,5.03216
1.9479,0.533201,5.02555
2.02582,0.525446,5.02357
2.02582,0.52716,5.02662
2.02582,0.527058,5.02836
2.02582,0.526202,5.02865
2.02582,0.526236,5.02622
2.02582,0.526718,5.03105
2.02582,0.526286,5.02775
2.02582,0.526922,5.0241
2.02582,0.525225,5.03085
2.02582,0.525903,5.02959
2.02582,0.525688,5.02613
2.02582,0.526266,5.02499
