# Start of simulation: Mon Mar 21 17:19:14 2016
beta,acc,obs
0.1,0.54818,6.11629
0.1,0.545475,6.11232
0.1,0.549385,6.12079
0.104,0.54241,6.09742
0.104,0.54802,6.10365
0.104,0.545945,6.1332
0.10816,0.543085,6.12292
0.10816,0.542935,6.12227
0.10816,0.5457,6.11899
0.112486,0.54249,6.1073
0.112486,0.541995,6.11729
0.112486,0.542725,6.12287
0.116986,0.54006,6.12584
0.116986,0.53979,6.09826
0.116986,0.543665,6.12108
0.121665,0.539485,6.13102
0.121665,0.538695,6.11874
0.121665,0.53786,6.11478
0.126532,0.535095,6.12093
0.126532,0.537125,6.10694
0.126532,0.533105,6.12998
0.131593,0.534465,6.12875
0.131593,0.535195,6.12129
0.131593,0.536135,6.14069
0.136857,0.533015,6.13155
0.136857,0.53581,6.15438
0.136857,0.53428,6.13116
0.142331,0.53078,6.12722
0.142331,0.52834,6.11407
0.142331,0.530825,6.10852
0.148024,0.52892,6.13752
0.148024,0.527995,6.12487
0.148024,0.530775,6.12521
0.153945,0.52824,6.12592
0.153945,0.527475,6.1238
0.153945,0.52688,6.1279
0.160103,0.52697,6.11554
0.160103,0.523905,6.12046
0.160103,0.526945,6.15072
0.166507,0.52227,6.14542
0.166507,0.52381,6.12702
0.166507,0.52243,6.1315
0.173168,0.52213,6.11562
0.173168,0.520905,6.11631
0.173168,0.51768,6.10911
0.180094,0.52361,6.1254
0.180094,0.5196,6.10766
0.180094,0.51865,6.14606
0.187298,0.520245,6.14946
0.187298,0.51703,6.12989
0.187298,0.517545,6.13372
0.19479,0.51315,6.12956
0.19479,0.51788,6.14318
0.19479,0.51685,6.13244
0.202582,0.51205,6.11208
0.202582,0.515465,6.11871
0.202582,0.51493,6.1485
0.210685,0.51121,6.13636
0.210685,0.51168,6.13099
0.210685,0.5137,6.12375
0.219112,0.511745,6.14386
0.219112,0.50982,6.11736
0.219112,0.51185,6.12034
0.227877,0.510095,6.14294
0.227877,0.50944,6.12633
0.227877,0.508305,6.15788
0.236992,0.50921,6.13361
0.236992,0.50667,6.12657
0.236992,0.50753,6.13936
0.246472,0.50498,6.13258
0.246472,0.50407,6.12316
0.246472,0.5072,6.13969
0.25633,0.5032,6.13373
0.25633,0.50224,6.13527
0.25633,0.501535,6.1202
0.266584,0.500195,6.14981
0.266584,0.500405,6.14427
0.266584,0.501575,6.12236
0.277247,0.497405,6.11092
0.277247,0.49985,6.1516
0.277247,0.49954,6.12647
0.288337,0.50031,6.12964
0.288337,0.498345,6.13965
0.288337,0.497515,6.13215
0.29987,0.493675,6.13772
0.29987,0.49583,6.15081
0.29987,0.49388,6.11198
0.311865,0.495535,6.12901
0.311865,0.49453,6.13951
0.311865,0.49669,6.16062
0.32434,0.492505,6.13735
0.32434,0.49257,6.15046
0.32434,0.48919,6.14215
0.337313,0.487755,6.12947
0.337313,0.49017,6.12979
0.337313,0.490275,6.13148
0.350806,0.490735,6.1484
0.350806,0.4854,6.1344
0.350806,0.489405,6.14747
0.364838,0.486555,6.1225
0.364838,0.484465,6.13878
0.364838,0.48658,6.13124
0.379432,0.48437,6.13173
0.379432,0.48687,6.16211
0.379432,0.48441,6.16046
0.394609,0.48338,6.13549
0.394609,0.48228,6.15925
0.394609,0.48159,6.1328
0.410393,0.48049,6.1432
0.410393,0.48425,6.15661
0.410393,0.480115,6.12755
0.426809,0.47876,6.12022
0.426809,0.477995,6.12596
