# Start of simulation: Thu Mar 24 11:24:50 2016
beta,acc,obs
0.1,0.46602,3.22111
0.1,0.469955,3.22932
0.1,0.468275,3.22726
0.1,0.468405,3.2267
0.1,0.471355,3.22998
0.1,0.468145,3.22716
0.1,0.46884,3.2252
0.1,0.46953,3.22652
0.1,0.46923,3.23089
0.1,0.46797,3.22425
0.1,0.46885,3.22584
0.1,0.467545,3.22452
0.1,0.46799,3.22518
0.1,0.467715,3.22534
0.1,0.468625,3.22526
0.104,0.466415,3.23027
0.104,0.46555,3.22371
0.104,0.46402,3.22438
0.104,0.46277,3.22279
0.104,0.465125,3.22711
0.104,0.46536,3.22691
0.104,0.464465,3.22657
0.104,0.46579,3.2268
0.104,0.467395,3.22377
0.104,0.46306,3.22755
0.104,0.466125,3.22754
0.104,0.465505,3.22143
0.104,0.46508,3.22457
0.104,0.46427,3.22407
0.104,0.46585,3.22969
0.10816,0.4623,3.22197
0.10816,0.46245,3.22675
0.10816,0.463305,3.22868
0.10816,0.464795,3.22817
0.10816,0.459375,3.22106
0.10816,0.46159,3.22775
0.10816,0.463415,3.22743
0.10816,0.461135,3.2229
0.10816,0.461095,3.22219
0.10816,0.461435,3.22726
0.10816,0.462275,3.22839
0.10816,0.46224,3.22853
0.10816,0.46344,3.22508
0.10816,0.461185,3.22995
0.10816,0.46162,3.22607
0.112486,0.461295,3.22722
0.112486,0.457465,3.22774
0.112486,0.460315,3.22711
0.112486,0.4609,3.22936
0.112486,0.458505,3.22581
0.112486,0.458525,3.22867
0.112486,0.459735,3.23156
0.112486,0.459325,3.23022
0.112486,0.4588,3.22472
0.112486,0.458165,3.23452
0.112486,0.461385,3.23083
0.112486,0.458915,3.22453
0.112486,0.459805,3.23027
0.112486,0.458215,3.22634
0.112486,0.45997,3.22799
0.116986,0.45302,3.22738
0.116986,0.456685,3.22474
0.116986,0.45845,3.23399
0.116986,0.456865,3.23145
0.116986,0.456525,3.22608
0.116986,0.45802,3.2359
0.116986,0.45642,3.22909
0.116986,0.45517,3.22582
0.116986,0.45654,3.22854
0.116986,0.457265,3.22831
0.116986,0.457875,3.23155
0.116986,0.458395,3.23075
0.116986,0.458055,3.22953
0.116986,0.454625,3.23243
0.116986,0.45702,3.23262
0.121665,0.45478,3.22759
0.121665,0.45571,3.23051
0.121665,0.45497,3.22983
0.121665,0.45344,3.22682
0.121665,0.454175,3.23077
0.121665,0.454545,3.23175
0.121665,0.45321,3.22542
0.121665,0.45723,3.22933
0.121665,0.45522,3.23212
0.121665,0.453515,3.23129
0.121665,0.453415,3.22687
0.121665,0.45342,3.22386
0.121665,0.456605,3.23248
0.121665,0.453805,3.2263
0.121665,0.454125,3.22797
0.126532,0.452045,3.22716
0.126532,0.451845,3.23317
0.126532,0.44957,3.22703
0.126532,0.451855,3.23127
0.126532,0.452945,3.22966
0.126532,0.44853,3.23049
0.126532,0.44937,3.22749
0.126532,0.449915,3.22773
0.126532,0.450605,3.23051
0.126532,0.452215,3.23073
0.126532,0.45176,3.22914
0.126532,0.452095,3.22995
0.126532,0.449645,3.23217
0.126532,0.452165,3.22998
0.126532,0.45196,3.23115
0.131593,0.44951,3.22842
0.131593,0.447755,3.23129
0.131593,0.45036,3.22876
0.131593,0.44619,3.22802
0.131593,0.44939,3.23213
0.131593,0.449025,3.23318
0.131593,0.448085,3.22905
0.131593,0.449575,3.23012
0.131593,0.448845,3.23007
0.131593,0.44781,3.22955
0.131593,0.45185,3.23414
0.131593,0.44802,3.23598
0.131593,0.44976,3.22873
0.131593,0.448185,3.2294
0.131593,0.44964,3.23224
0.136857,0.447055,3.23254
0.136857,0.44614,3.22987
0.136857,0.444745,3.23043
0.136857,0.44645,3.23182
0.136857,0.445975,3.23115
0.136857,0.4462,3.22895
0.136857,0.44467,3.23075
0.136857,0.446935,3.23231
0.136857,0.44676,3.23378
0.136857,0.44495,3.23218
0.136857,0.44772,3.23027
0.136857,0.44744,3.23482
0.136857,0.444875,3.2326
0.136857,0.443465,3.22785
0.136857,0.444725,3.22903
0.142331,0.443185,3.23351
0.142331,0.443935,3.23326
0.142331,0.4433,3.23388
0.142331,0.443575,3.23087
0.142331,0.443225,3.23215
0.142331,0.440795,3.23013
0.142331,0.442495,3.23277
0.142331,0.44166,3.22938
0.142331,0.443395,3.23577
0.142331,0.4438,3.22971
0.142331,0.442145,3.23652
0.142331,0.44204,3.23178
0.142331,0.441465,3.23047
0.142331,0.44149,3.23217
0.142331,0.442005,3.23128
0.148024,0.439765,3.23053
0.148024,0.440975,3.23728
0.148024,0.442215,3.23737
0.148024,0.442205,3.23856
0.148024,0.440455,3.23283
0.148024,0.4417,3.23831
0.148024,0.43988,3.23445
0.148024,0.43952,3.23497
0.148024,0.44089,3.23969
0.148024,0.439065,3.23427
0.148024,0.441005,3.23533
0.148024,0.437975,3.23064
0.148024,0.440215,3.2297
0.148024,0.43946,3.2328
0.148024,0.438765,3.23103
0.153945,0.437255,3.23411
0.153945,0.43857,3.23622
0.153945,0.436625,3.2352
0.153945,0.438265,3.23802
0.153945,0.43733,3.23693
0.153945,0.43706,3.23666
0.153945,0.437065,3.2355
0.153945,0.43721,3.23118
0.153945,0.43785,3.23989
0.153945,0.4385,3.23212
0.153945,0.43771,3.2319
0.153945,0.43563,3.23611
0.153945,0.437435,3.23505
0.153945,0.43745,3.23546
0.153945,0.43749,3.23247
0.160103,0.434865,3.23379
0.160103,0.43389,3.233
0.160103,0.43361,3.23438
0.160103,0.43495,3.23823
0.160103,0.43734,3.23604
0.160103,0.433905,3.23576
0.160103,0.434065,3.23289
0.160103,0.434885,3.23519
0.160103,0.435505,3.23633
0.160103,0.43516,3.23362
0.160103,0.43391,3.23433
0.160103,0.43378,3.23208
0.160103,0.43408,3.23349
0.160103,0.433785,3.23362
0.160103,0.43441,3.23568
0.166507,0.432765,3.23343
0.166507,0.43233,3.23724
0.166507,0.43115,3.23538
0.166507,0.431815,3.23909
0.166507,0.43175,3.23757
0.166507,0.4315,3.23486
0.166507,0.433085,3.23474
0.166507,0.432375,3.23552
0.166507,0.432695,3.23908
0.166507,0.430445,3.23636
0.166507,0.43126,3.23501
0.166507,0.429065,3.23311
0.166507,0.43281,3.24073
0.166507,0.431695,3.23472
0.166507,0.43328,3.23245
0.173168,0.428115,3.23462
0.173168,0.43059,3.23896
0.173168,0.43093,3.23638
0.173168,0.42917,3.23639
0.173168,0.429285,3.23801
0.173168,0.42967,3.24147
0.173168,0.4305,3.24041
0.173168,0.43032,3.23821
0.173168,0.429735,3.2373
0.173168,0.42913,3.23486
0.173168,0.427415,3.23673
0.173168,0.427245,3.238
0.173168,0.430595,3.24059
0.173168,0.430695,3.23852
0.173168,0.427305,3.23329
0.180094,0.42708,3.23721
0.180094,0.426495,3.23604
0.180094,0.42548,3.23743
0.180094,0.42768,3.23932
0.180094,0.429085,3.23825
0.180094,0.42551,3.2383
0.180094,0.42661,3.23717
0.180094,0.42696,3.23927
0.180094,0.427375,3.23652
0.180094,0.428995,3.24011
0.180094,0.425185,3.23647
0.180094,0.426615,3.23907
0.180094,0.426125,3.23991
0.180094,0.42551,3.23495
0.180094,0.42629,3.23909
0.187298,0.421235,3.23779
0.187298,0.422275,3.23814
0.187298,0.423495,3.23549
0.187298,0.423425,3.2393
0.187298,0.42232,3.23213
0.187298,0.422065,3.23986
0.187298,0.42176,3.23923
0.187298,0.425945,3.2387
0.187298,0.42183,3.23389
0.187298,0.42439,3.23757
0.187298,0.42265,3.23164
0.187298,0.42126,3.23737
0.187298,0.42565,3.23785
0.187298,0.42463,3.24023
0.187298,0.42238,3.23394
0.19479,0.420235,3.23729
0.19479,0.4212,3.2412
0.19479,0.422245,3.2381
0.19479,0.423145,3.23874
0.19479,0.421545,3.23866
0.19479,0.416355,3.2327
0.19479,0.42198,3.23837
0.19479,0.41925,3.23418
0.19479,0.419735,3.23634
0.19479,0.41977,3.23864
0.19479,0.41967,3.23396
0.19479,0.420725,3.24083
0.19479,0.420515,3.24108
0.19479,0.421525,3.24196
0.19479,0.41974,3.23504
0.202582,0.419585,3.2438
0.202582,0.41794,3.23869
0.202582,0.41716,3.23754
0.202582,0.41922,3.24084
0.202582,0.417455,3.24108
0.202582,0.41829,3.23804
0.202582,0.420615,3.24363
0.202582,0.419845,3.24629
0.202582,0.41616,3.2371
0.202582,0.416815,3.2397
0.202582,0.418075,3.243
0.202582,0.41788,3.24005
0.202582,0.417575,3.23572
0.202582,0.4177,3.23515
0.202582,0.4187,3.2408
0.210685,0.41465,3.24123
0.210685,0.41571,3.2384
0.210685,0.416175,3.23953
0.210685,0.4159,3.24041
0.210685,0.41478,3.23695
0.210685,0.415615,3.24065
0.210685,0.41449,3.24163
0.210685,0.415645,3.24052
0.210685,0.416225,3.23658
0.210685,0.416465,3.24215
0.210685,0.413445,3.23507
0.210685,0.41472,3.23895
0.210685,0.41546,3.24256
0.210685,0.416105,3.23813
0.210685,0.41596,3.23579
0.219112,0.412325,3.24099
0.219112,0.41261,3.24172
0.219112,0.412155,3.24375
0.219112,0.41199,3.23679
0.219112,0.41178,3.23658
0.219112,0.41181,3.23948
0.219112,0.41299,3.24093
0.219112,0.412895,3.24151
0.219112,0.41306,3.23862
0.219112,0.414285,3.23881
0.219112,0.414495,3.2378
0.219112,0.413375,3.24309
0.219112,0.412995,3.24386
0.219112,0.413595,3.24293
0.219112,0.41201,3.24406
0.227877,0.40816,3.23817
0.227877,0.40979,3.24065
0.227877,0.409135,3.24288
0.227877,0.40854,3.24091
0.227877,0.41054,3.24119
0.227877,0.409895,3.24122
0.227877,0.410035,3.24109
0.227877,0.409705,3.24567
0.227877,0.408435,3.24173
0.227877,0.411785,3.24093
0.227877,0.41076,3.23769
0.227877,0.410565,3.23877
0.227877,0.41068,3.24445
0.227877,0.41074,3.23957
0.227877,0.410455,3.23821
0.236992,0.40621,3.24691
0.236992,0.40541,3.23437
0.236992,0.40843,3.24397
0.236992,0.408615,3.24605
0.236992,0.40385,3.23934
0.236992,0.40336,3.23769
0.236992,0.407635,3.2392
0.236992,0.40419,3.24046
0.236992,0.40433,3.23768
0.236992,0.405825,3.23727
0.236992,0.405205,3.24086
0.236992,0.40641,3.24284
0.236992,0.408425,3.24147
0.236992,0.40838,3.24377
0.236992,0.40772,3.24394
0.246472,0.40473,3.24353
0.246472,0.40438,3.24248
0.246472,0.404845,3.23662
0.246472,0.402805,3.24101
0.246472,0.40253,3.24016
0.246472,0.4048,3.23819
0.246472,0.400855,3.23852
0.246472,0.40756,3.24764
0.246472,0.403295,3.24244
0.246472,0.402935,3.23871
0.246472,0.405545,3.2455
0.246472,0.40469,3.2457
0.246472,0.405985,3.24022
0.246472,0.403625,3.24071
0.246472,0.404415,3.24042
0.25633,0.401035,3.23865
0.25633,0.403505,3.2446
0.25633,0.40039,3.2406
0.25633,0.40121,3.24229
0.25633,0.401505,3.24293
0.25633,0.39999,3.24265
0.25633,0.40263,3.24063
0.25633,0.400545,3.24222
0.25633,0.40186,3.244
0.25633,0.399485,3.24296
0.25633,0.40003,3.23572
0.25633,0.400855,3.24253
0.25633,0.400995,3.24092
0.25633,0.401255,3.23983
0.25633,0.400895,3.23959
0.266584,0.39937,3.24438
0.266584,0.397635,3.24424
0.266584,0.397955,3.23903
0.266584,0.396265,3.24206
0.266584,0.397175,3.23961
0.266584,0.399465,3.24596
0.266584,0.39783,3.24179
0.266584,0.398385,3.24262
0.266584,0.395915,3.2334
0.266584,0.398115,3.23969
0.266584,0.399135,3.24228
0.266584,0.39849,3.24603
0.266584,0.398595,3.24275
0.266584,0.39858,3.24061
0.266584,0.39811,3.24102
0.277247,0.393885,3.23906
0.277247,0.396105,3.24325
0.277247,0.39697,3.24248
