beta,acc,obs
1,0.534441,7.66659
1,0.534711,7.66236
1,0.53559,7.6866
1,0.533415,7.66539
1,0.536859,7.69373
1,0.534909,7.67665
1,0.534698,7.66986
1,0.534616,7.70158
1,0.535144,7.67175
1,0.534414,7.66904
1,0.535344,7.68082
1,0.535353,7.68547
1,0.534434,7.68876
1,0.535468,7.68602
1,0.535075,7.68487
1,0.534628,7.68045
1,0.534352,7.67567
1,0.534549,7.66714
1,0.534855,7.67846
1,0.534627,7.68098
1,0.535053,7.6804
1,0.533834,7.67021
1,0.534594,7.67562
1,0.533779,7.66919
1,0.535413,7.681
1,0.534114,7.68619
1,0.534401,7.68956
1,0.533813,7.66076
1,0.536641,7.70538
1,0.534967,7.68078
1,0.53535,7.68204
1,0.536658,7.70884
1,0.535097,7.68284
1,0.535082,7.66815
1,0.536501,7.68587
1,0.534765,7.68656
1,0.534717,7.66784
1,0.535519,7.68538
1,0.533858,7.665
1,0.536148,7.68957
1,0.534952,7.6674
1,0.535113,7.67231
1,0.535486,7.6839
1,0.535997,7.70176
1,0.534246,7.67422
1,0.535046,7.66967
1,0.534956,7.68319
1,0.534573,7.69021
1,0.534657,7.68308
1,0.534764,7.67221
1,0.534072,7.67786
1,0.535186,7.68081
1,0.536178,7.69781
1,0.535203,7.67697
1,0.533662,7.67277
1,0.534658,7.67887
1,0.535771,7.69214
1,0.536554,7.69879
1,0.536519,7.68659
1,0.534716,7.67061
1,0.535464,7.68608
1,0.534368,7.67994
1,0.534833,7.67688
1,0.535043,7.67838
1,0.535091,7.67846
1,0.53454,7.67608
1,0.533941,7.66124
1,0.53435,7.67597
1,0.535301,7.68184
1,0.535735,7.68603
1,0.535389,7.67939
1,0.534288,7.66756
1,0.535513,7.67838
1,0.535507,7.68654
1,0.534352,7.67883
1,0.534892,7.67933
1,0.535503,7.67836
1,0.534232,7.67578
1,0.535099,7.68245
1,0.536039,7.68784
1,0.534184,7.67625
1,0.534955,7.68316
1,0.53538,7.68946
1,0.536624,7.69933
1,0.535797,7.67961
1,0.535483,7.69379
1,0.534868,7.66351
1,0.534925,7.67371
1,0.53463,7.664
1,0.534533,7.67774
1,0.533427,7.66917
1,0.535053,7.67171
1,0.535658,7.68253
1,0.53643,7.6866
1,0.535812,7.68108
1,0.534912,7.68223
1,0.535668,7.6888
1,0.535281,7.68257
1,0.535524,7.67284
1,0.534801,7.67643
1,0.534509,7.67212
1,0.535147,7.68109
1,0.536321,7.6842
1,0.53431,7.67801
1,0.535598,7.68641
1,0.53456,7.6706
1,0.534215,7.68419
1,0.536202,7.6858
1,0.53551,7.67986
1,0.534624,7.66962
1,0.535642,7.68857
1,0.534779,7.67781
1,0.534568,7.6683
1,0.535196,7.66725
1,0.536092,7.68131
1,0.534882,7.67732
1,0.53579,7.69039
1,0.534906,7.66158
1,0.535141,7.68471
1,0.534714,7.67441
1,0.534992,7.6909
1,0.533985,7.67871
1,0.535265,7.67597
1,0.534856,7.67948
1,0.535324,7.69142
1,0.535227,7.68265
1,0.535601,7.68372
1,0.534765,7.66681
1,0.533618,7.67275
1,0.534312,7.67204
1,0.53453,7.67996
1,0.535172,7.68884
1,0.536017,7.6852
1,0.53475,7.67698
1,0.534435,7.67369
1,0.534678,7.67396
1,0.535016,7.66456
1,0.534739,7.67631
1,0.535815,7.67575
1,0.535055,7.68034
1,0.534505,7.69019
1,0.535045,7.68478
1,0.53558,7.68594
1,0.536194,7.68845
1,0.534142,7.68314
1,0.534168,7.66713
1,0.534835,7.6734
1,0.535732,7.68271
1,0.535335,7.67845
1,0.535154,7.67925
1.06,0.528481,7.67136
1.06,0.528774,7.69268
1.06,0.52934,7.69045
1.06,0.528723,7.67816
1.06,0.528567,7.67925
1.06,0.529535,7.66834
1.06,0.529846,7.6975
1.06,0.529491,7.68801
1.06,0.529795,7.69253
1.06,0.528644,7.67944
1.06,0.529184,7.68587
1.06,0.529618,7.67099
1.06,0.528829,7.68185
1.06,0.529001,7.69513
1.06,0.528863,7.67167
1.06,0.529864,7.67186
1.06,0.529328,7.66374
1.06,0.528071,7.66352
1.06,0.529628,7.67127
1.06,0.529231,7.67811
1.06,0.528794,7.68179
1.06,0.529359,7.6849
1.06,0.529588,7.68553
1.06,0.529375,7.68328
1.06,0.529505,7.67849
1.06,0.529529,7.68249
1.06,0.529685,7.68907
1.06,0.529416,7.6766
1.06,0.529412,7.67826
1.06,0.529551,7.68755
1.06,0.529583,7.69494
1.06,0.528533,7.68312
1.06,0.528915,7.68113
1.06,0.529386,7.69725
1.06,0.527859,7.688
1.06,0.528791,7.67571
1.06,0.529196,7.68855
1.06,0.529548,7.68286
1.06,0.531263,7.69817
1.06,0.528203,7.68812
1.06,0.52886,7.67428
1.06,0.531131,7.70256
1.06,0.528828,7.68084
1.06,0.529582,7.69094
1.06,0.52878,7.69358
1.06,0.529394,7.69777
1.06,0.529303,7.69361
1.06,0.529432,7.68927
1.06,0.528245,7.68799
1.06,0.529192,7.70037
1.06,0.528655,7.68946
1.06,0.530783,7.68583
1.06,0.529341,7.68854
1.06,0.528928,7.68685
1.06,0.528758,7.68402
1.06,0.528629,7.67716
1.06,0.529949,7.68346
1.06,0.529334,7.68712
1.06,0.528832,7.69345
1.06,0.529377,7.6816
1.06,0.528644,7.67259
1.06,0.528712,7.67232
1.06,0.528883,7.68789
1.06,0.529741,7.68012
1.06,0.529715,7.68995
1.06,0.52912,7.66393
1.06,0.529875,7.6945
1.06,0.529654,7.6952
1.06,0.530898,7.70033
1.06,0.529485,7.68156
1.06,0.528782,7.68346
1.06,0.528771,7.68312
1.06,0.530164,7.68503
1.06,0.529255,7.68138
1.06,0.528852,7.67306
1.06,0.52921,7.68476
1.06,0.527774,7.68351
1.06,0.52854,7.68413
1.06,0.529471,7.68193
1.06,0.528211,7.67532
1.06,0.529032,7.67871
1.06,0.528815,7.67792
1.06,0.530191,7.69421
1.06,0.52956,7.67369
1.06,0.529401,7.68905
1.06,0.529977,7.68548
1.06,0.530135,7.67948
1.06,0.52891,7.69479
1.06,0.528623,7.69655
1.06,0.529726,7.68994
1.06,0.530241,7.6878
1.06,0.53014,7.68604
1.06,0.529741,7.68397
1.06,0.529294,7.68381
1.06,0.528878,7.67842
1.06,0.529814,7.68978
1.06,0.53034,7.69236
1.06,0.5294,7.68407
1.06,0.530145,7.68986
1.06,0.528908,7.67984
1.06,0.528297,7.69076
1.06,0.52861,7.67058
1.06,0.529492,7.67322
1.06,0.528366,7.66771
1.06,0.529151,7.67223
1.06,0.528736,7.68207
1.06,0.5302,7.68981
1.06,0.52887,7.68342
1.06,0.529677,7.68049
1.06,0.528982,7.69585
1.06,0.528623,7.67684
1.06,0.529545,7.67614
1.06,0.529423,7.69588
1.06,0.528918,7.69024
1.06,0.527773,7.67852
