beta,acc,obs
1,0.446385,7.57529
1,0.44638,7.58189
1,0.448145,7.59231
1,0.447895,7.58314
1,0.446898,7.58474
1,0.44627,7.58536
1,0.448427,7.58152
1,0.447628,7.57266
1,0.447545,7.58584
1,0.446493,7.56646
1,0.4477,7.57841
1,0.447657,7.58202
1,0.44834,7.59505
1,0.447732,7.58221
1,0.44933,7.57686
1,0.448625,7.5844
1,0.44798,7.59233
1,0.44817,7.59178
1,0.446783,7.5876
1,0.447298,7.57452
1,0.4468,7.56949
1,0.447663,7.58393
1,0.448458,7.58983
1,0.448132,7.59167
1,0.447053,7.58157
1,0.446647,7.58079
1,0.447433,7.5839
1,0.447265,7.57394
1,0.44845,7.58504
1,0.448242,7.5776
1,0.447785,7.58927
1,0.44926,7.5813
1,0.44717,7.57252
1,0.447835,7.58443
1,0.446132,7.57924
1,0.44793,7.57988
1,0.447385,7.56639
1,0.447145,7.58285
1,0.44792,7.58666
1,0.448595,7.58036
1,0.445945,7.58111
1,0.44701,7.56921
1,0.448045,7.58611
1,0.447572,7.5859
1,0.448568,7.58706
1,0.446898,7.58235
1,0.446783,7.57822
1,0.44652,7.57357
1,0.448235,7.5773
1,0.449292,7.59354
1,0.445727,7.57737
1,0.446532,7.57947
1,0.44751,7.57968
1,0.445695,7.56715
1,0.44705,7.57823
1,0.447918,7.5857
1,0.448128,7.57126
1,0.447865,7.57343
1,0.448593,7.57387
1,0.447688,7.58536
1,0.448808,7.59176
1,0.446927,7.57317
1,0.446745,7.5902
1,0.4493,7.57299
1,0.447657,7.56547
1,0.448242,7.58438
1,0.447525,7.5893
1,0.447047,7.56861
1,0.44837,7.57631
1,0.447568,7.5871
1,0.446483,7.56696
1,0.448642,7.5881
1,0.446795,7.57788
1,0.445528,7.59862
1,0.448698,7.58168
1,0.447138,7.58329
1,0.44727,7.57923
1,0.448325,7.58997
1,0.448908,7.59103
1,0.446628,7.58789
1,0.44882,7.57748
1,0.447497,7.58893
1,0.44642,7.56748
1,0.44884,7.59229
1,0.44808,7.58282
1,0.44879,7.58688
1,0.448245,7.58529
1,0.44822,7.58266
1,0.446935,7.56855
1,0.449285,7.58157
1,0.446715,7.57598
1,0.447198,7.5752
1,0.44833,7.57166
1,0.44734,7.57934
1,0.447918,7.59221
1,0.448055,7.57801
