beta,acc,obs
1,0.446956,7.58447
1,0.447362,7.58026
1,0.448418,7.58885
1,0.447804,7.57956
1,0.448056,7.57926
1,0.448924,7.58279
1,0.447835,7.57561
1,0.446603,7.576
1,0.447681,7.57726
1,0.447516,7.59103
1,0.44685,7.57851
1,0.448813,7.59123
1,0.44721,7.57036
1,0.447304,7.57805
1,0.447329,7.58088
1,0.449291,7.58245
1,0.446661,7.57704
1,0.447178,7.58238
1,0.448109,7.58751
1,0.447631,7.5863
1,0.447356,7.58094
1,0.448427,7.58417
1,0.448465,7.57934
1,0.448373,7.58114
1,0.448464,7.57899
1,0.44705,7.57978
1,0.447281,7.58073
1,0.44807,7.58111
1,0.448034,7.5787
1,0.447509,7.58896
1,0.448815,7.5775
1,0.446626,7.58502
1,0.448167,7.58137
1,0.447149,7.58199
1,0.447867,7.58797
1,0.448086,7.58208
1,0.447946,7.57857
1,0.448594,7.58762
1,0.447751,7.58014
1,0.448699,7.58547
1,0.447885,7.58088
1,0.447584,7.57826
1,0.447827,7.57942
1,0.44769,7.57787
1,0.448376,7.58447
1,0.44659,7.5734
1,0.447921,7.58533
1,0.448016,7.58543
1,0.447983,7.58166
1,0.448444,7.58946
1,0.44785,7.58551
1,0.44758,7.58442
1,0.447856,7.58368
1,0.448246,7.57399
1,0.44806,7.5826
1,0.447751,7.57531
1,0.447824,7.57669
1,0.447496,7.57929
1,0.446972,7.58639
1,0.447909,7.58424
1,0.44761,7.57894
1,0.448335,7.58563
1,0.448129,7.58522
1,0.447824,7.58073
1,0.44777,7.58439
1,0.447423,7.58207
1,0.448858,7.57875
1,0.447773,7.58329
1,0.448494,7.58834
1,0.447055,7.58383
1,0.448225,7.57613
1,0.446767,7.58052
1,0.447806,7.58093
1,0.447327,7.57884
1,0.44827,7.57395
1,0.447817,7.58585
1,0.448823,7.57423
1,0.447901,7.58331
1,0.447901,7.58783
1,0.447085,7.57972
1,0.4475,7.58278
1,0.446616,7.58381
1,0.447411,7.5755
1,0.448217,7.58841
1,0.448298,7.58268
1,0.446945,7.56556
1,0.447678,7.58893
1,0.447724,7.57066
1,0.446066,7.58168
1,0.448491,7.58065
1,0.447802,7.58426
1,0.448904,7.58856
1,0.448106,7.57282
1,0.447632,7.58231
1,0.448362,7.58873
1,0.448198,7.57997
1,0.447682,7.57522
1,0.448238,7.57689
1,0.449033,7.57923
1.06,0.441934,7.58822
1.06,0.440289,7.58654
1.06,0.44097,7.58509
1.06,0.440428,7.58005
1.06,0.440235,7.58942
1.06,0.438918,7.57193
1.06,0.440841,7.59147
1.06,0.440443,7.58654
1.06,0.440324,7.58679
1.06,0.440851,7.59114
1.06,0.440106,7.58469
1.06,0.440578,7.58247
1.06,0.438886,7.58234
1.06,0.44124,7.58662
1.06,0.439889,7.57802
1.06,0.441221,7.58642
1.06,0.439796,7.57969
1.06,0.440716,7.59074
1.06,0.440625,7.57937
1.06,0.439387,7.58306
1.06,0.440864,7.5769
1.06,0.440604,7.58783
1.06,0.440569,7.58829
1.06,0.440855,7.58033
1.06,0.439885,7.57577
1.06,0.441462,7.59117
1.06,0.44236,7.60045
1.06,0.439375,7.581
1.06,0.440924,7.59053
1.06,0.440871,7.58797
1.06,0.440619,7.59104
1.06,0.440024,7.58023
1.06,0.440769,7.58128
1.06,0.440396,7.58386
1.06,0.440719,7.58997
1.06,0.442238,7.59067
1.06,0.439479,7.58325
1.06,0.440996,7.58271
1.06,0.440759,7.58135
1.06,0.440056,7.58284
1.06,0.440615,7.58098
1.06,0.441711,7.57796
1.06,0.440285,7.5826
1.06,0.440039,7.57761
1.06,0.440699,7.58033
1.06,0.440939,7.58923
1.06,0.440121,7.58679
1.06,0.440731,7.58698
1.06,0.439777,7.58255
1.06,0.441264,7.58393
1.06,0.440735,7.58163
1.06,0.43996,7.58924
1.06,0.440261,7.59036
1.06,0.440296,7.58287
1.06,0.439613,7.58069
1.06,0.440522,7.58408
1.06,0.439696,7.57868
1.06,0.44105,7.58784
1.06,0.44085,7.58286
1.06,0.440436,7.59619
1.06,0.439785,7.5774
1.06,0.440404,7.58365
1.06,0.439738,7.57723
1.06,0.440885,7.5841
1.06,0.439921,7.58953
1.06,0.440792,7.57798
1.06,0.440945,7.5886
1.06,0.440074,7.59542
1.06,0.440544,7.58169
1.06,0.440059,7.57715
1.06,0.440116,7.58097
1.06,0.440634,7.58775
1.06,0.440213,7.58016
1.06,0.440474,7.58738
1.06,0.439399,7.58212
1.06,0.440723,7.5865
1.06,0.44036,7.59128
1.06,0.441096,7.57972
1.06,0.441507,7.58498
1.06,0.441356,7.57975
1.06,0.440227,7.57824
1.06,0.440465,7.58093
1.06,0.441046,7.58339
1.06,0.440204,7.58378
1.06,0.440825,7.58407
1.06,0.440575,7.58143
1.06,0.439267,7.58554
1.06,0.441205,7.59135
1.06,0.439546,7.57641
1.06,0.439776,7.58361
1.06,0.441045,7.58547
1.06,0.440298,7.58232
1.06,0.440426,7.58756
1.06,0.439615,7.58499
1.06,0.439456,7.59041
1.06,0.440951,7.58383
1.06,0.440315,7.58043
1.06,0.441528,7.58509
1.06,0.440437,7.58584
1.1236,0.431636,7.57873
1.1236,0.433294,7.58556
1.1236,0.433626,7.58405
1.1236,0.43385,7.58143
1.1236,0.434036,7.6004
1.1236,0.433017,7.58184
1.1236,0.433851,7.5883
1.1236,0.433227,7.58404
1.1236,0.433525,7.58968
1.1236,0.433055,7.58375
1.1236,0.434139,7.58502
1.1236,0.433166,7.58534
1.1236,0.433192,7.5783
1.1236,0.433812,7.58343
1.1236,0.432895,7.58976
1.1236,0.4338,7.58411
1.1236,0.433535,7.58485
1.1236,0.433271,7.58701
1.1236,0.433424,7.58211
1.1236,0.431746,7.57999
1.1236,0.43276,7.60009
1.1236,0.432982,7.59049
1.1236,0.433304,7.58234
1.1236,0.433231,7.59186
1.1236,0.432179,7.57623
1.1236,0.433333,7.58518
1.1236,0.432522,7.58255
1.1236,0.433271,7.59323
1.1236,0.43266,7.57068
1.1236,0.432712,7.58043
1.1236,0.43365,7.58886
1.1236,0.433551,7.59393
1.1236,0.433594,7.58763
1.1236,0.43285,7.5902
1.1236,0.432149,7.58794
1.1236,0.433195,7.57719
1.1236,0.433318,7.57556
1.1236,0.433007,7.58249
1.1236,0.43253,7.5915
1.1236,0.433375,7.58735
1.1236,0.432365,7.57768
1.1236,0.433795,7.58294
1.1236,0.433114,7.58824
1.1236,0.433954,7.58655
1.1236,0.433919,7.58886
1.1236,0.432526,7.58904
1.1236,0.43323,7.58326
1.1236,0.433675,7.59654
1.1236,0.433301,7.58093
1.1236,0.432509,7.58646
1.1236,0.432503,7.57445
1.1236,0.432375,7.58453
1.1236,0.432834,7.58146
1.1236,0.433245,7.57796
1.1236,0.432171,7.5926
1.1236,0.433519,7.58794
