beta,acc,obs
1,0.60355,9.87683
1,0.60611,9.90145
1,0.60716,9.91359
1,0.60664,9.90208
1,0.60469,9.90281
1,0.60814,9.98865
1,0.60363,9.87745
1,0.60488,9.88691
1,0.60642,9.9108
1,0.60783,9.91289
1,0.60775,9.92145
1,0.6075,9.8981
1,0.60652,9.91687
1,0.60328,9.84041
1,0.60565,9.87153
1,0.60878,9.93461
1,0.60698,9.8945
1,0.60691,9.91375
1,0.60445,9.85854
1,0.6047,9.86986
1,0.60782,9.88923
1,0.6067,9.87387
1,0.60804,9.87843
1,0.60665,9.9195
1,0.60613,9.8943
1,0.60199,9.86069
1,0.60512,9.89546
1,0.6053,9.92272
1,0.60215,9.92085
1,0.60437,9.84629
1,0.60773,9.93241
1,0.60755,9.87095
1,0.60419,9.89854
1,0.60567,9.92269
1,0.60488,9.89921
1,0.60547,9.90848
1,0.60715,9.89284
1,0.60823,9.91835
1,0.60331,9.89683
1,0.60361,9.86728
1,0.60734,9.87764
1,0.60315,9.91156
1,0.60635,9.87972
1,0.60714,9.90912
1,0.6048,9.91268
1,0.60421,9.84941
1,0.60729,9.91148
1,0.60581,9.8914
1,0.6048,9.93241
1,0.60717,9.91169
1,0.60597,9.88576
1,0.60564,9.91898
1,0.6064,9.89643
1,0.60397,9.92451
1,0.60838,9.91108
1,0.60699,9.91715
1,0.60508,9.89698
1,0.60523,9.89425
1,0.60325,9.87015
1,0.60591,9.87616
1,0.60461,9.85545
1,0.60625,9.87264
1,0.60528,9.90329
1,0.60487,9.85811
1,0.60946,9.92199
1,0.60403,9.89642
1,0.60234,9.85852
1,0.60815,9.957
1,0.6041,9.9241
1,0.609,9.93243
1,0.60338,9.85765
1,0.6053,9.87776
1,0.60537,9.88916
1,0.60448,9.88101
1,0.60363,9.87725
1,0.60621,9.86785
1,0.60228,9.9362
1,0.60558,9.87561
1,0.60564,9.95104
1,0.6039,9.89353
1,0.60797,9.92783
1,0.60529,9.95989
1,0.60518,9.93744
1,0.60463,9.89315
1,0.60854,9.95358
1,0.60823,9.91915
1,0.6069,9.88941
1,0.60662,9.88094
1,0.60465,9.83571
1,0.6026,9.90397
1,0.60563,9.8638
1,0.60519,9.92149
1,0.60403,9.85717
1,0.60532,9.87897
1,0.60757,9.86128
1,0.60585,9.94035
1,0.60731,9.8871
1,0.60717,9.86655
1,0.60728,9.93831
1.06,0.59794,9.91055
1.06,0.59916,9.92565
1.06,0.59814,9.93163
1.06,0.59825,9.90738
1.06,0.60215,9.8734
1.06,0.59755,9.89623
1.06,0.59455,9.86882
1.06,0.59665,9.90919
1.06,0.60185,9.9211
1.06,0.59988,9.86842
1.06,0.59667,9.86962
1.06,0.59633,9.89798
1.06,0.59439,9.85708
1.06,0.59846,9.89626
1.06,0.59902,9.89078
1.06,0.60044,9.88425
1.06,0.60138,9.90335
1.06,0.59653,9.86278
1.06,0.59623,9.86719
1.06,0.60046,9.915
1.06,0.60001,9.88523
1.06,0.59671,9.89377
1.06,0.59962,9.9351
1.06,0.59886,9.87153
1.06,0.59809,9.8999
1.06,0.59463,9.92364
1.06,0.59774,9.87542
1.06,0.5992,9.88359
1.06,0.59941,9.88927
1.06,0.59931,9.89524
1.06,0.59701,9.87391
1.06,0.59993,9.86055
1.06,0.59951,9.85994
1.06,0.59753,9.87809
1.06,0.59773,9.90645
1.06,0.5995,9.93384
1.06,0.59864,9.87841
1.06,0.59592,9.87452
1.06,0.59749,9.8776
1.06,0.59911,9.90209
1.06,0.59835,9.87631
1.06,0.59676,9.9126
1.06,0.59686,9.90645
1.06,0.59656,9.89416
1.06,0.59657,9.84545
1.06,0.5985,9.92296
1.06,0.59964,9.91045
1.06,0.59728,9.88167
1.06,0.59822,9.87676
1.06,0.59715,9.87323
1.06,0.59808,9.87819
1.06,0.59904,9.87006
1.06,0.59725,9.88645
1.06,0.59825,9.91571
1.06,0.59587,9.94124
1.06,0.59575,9.8793
1.06,0.59646,9.90843
1.06,0.59758,9.90904
1.06,0.59931,9.90743
1.06,0.5976,9.87798
1.06,0.59929,9.89064
1.06,0.59794,9.86805
1.06,0.59831,9.88414
1.06,0.59656,9.87289
1.06,0.59628,9.9269
1.06,0.59629,9.86891
1.06,0.60109,9.9267
1.06,0.59985,9.89561
1.06,0.59688,9.87757
1.06,0.59706,9.90021
1.06,0.59745,9.89814
1.06,0.60181,9.89187
1.06,0.59984,9.89503
1.06,0.59971,9.89754
1.06,0.59712,9.92913
1.06,0.59795,9.93142
1.06,0.5993,9.91247
1.06,0.59895,9.91139
1.06,0.59893,9.91797
1.06,0.59927,9.87178
1.06,0.6001,9.92789
1.06,0.5986,9.90902
1.06,0.59858,9.90345
1.06,0.59628,9.92622
1.06,0.59763,9.91434
1.06,0.59837,9.87211
1.06,0.59712,9.8729
1.06,0.59414,9.87752
1.06,0.59901,9.87121
1.06,0.59976,9.908
1.06,0.59768,9.88407
1.06,0.59777,9.86521
1.06,0.59883,9.8591
1.06,0.59826,9.94082
1.06,0.60047,9.95979
1.06,0.59687,9.8893
1.06,0.59763,9.90662
1.06,0.59744,9.87574
1.06,0.59777,9.89515
1.1236,0.59203,9.89851
1.1236,0.58956,9.89398
1.1236,0.59023,9.89806
1.1236,0.59335,9.9217
1.1236,0.59005,9.90892
1.1236,0.59034,9.81908
1.1236,0.58963,9.92748
1.1236,0.59033,9.87134
1.1236,0.59029,9.87918
1.1236,0.59404,9.94225
1.1236,0.58785,9.88756
1.1236,0.58996,9.89406
1.1236,0.59272,9.92063
1.1236,0.58862,9.89854
1.1236,0.59019,9.89025
1.1236,0.59272,9.91106
1.1236,0.58838,9.87756
1.1236,0.59026,9.8608
1.1236,0.58973,9.90157
1.1236,0.59143,9.91899
1.1236,0.58982,9.90945
1.1236,0.59103,9.92992
1.1236,0.59015,9.89774
1.1236,0.59335,9.91083
1.1236,0.58864,9.8689
1.1236,0.58955,9.91068
1.1236,0.58942,9.88397
1.1236,0.59103,9.89494
1.1236,0.59228,9.88337
1.1236,0.591,9.89339
1.1236,0.58962,9.85058
1.1236,0.5917,9.87969
1.1236,0.59005,9.86313
1.1236,0.59318,9.93595
1.1236,0.59036,9.91976
1.1236,0.59067,9.88786
1.1236,0.59169,9.86804
1.1236,0.59219,9.91387
1.1236,0.59046,9.84773
1.1236,0.59028,9.87878
1.1236,0.59074,9.87557
1.1236,0.59137,9.93066
1.1236,0.59015,9.90921
1.1236,0.5891,9.94085
1.1236,0.58946,9.8905
1.1236,0.5906,9.9128
1.1236,0.59126,9.91793
1.1236,0.59143,9.88758
1.1236,0.58788,9.87731
