beta,acc,obs
1,0.44904,7.57894
1,0.44689,7.57776
1,0.4495,7.55894
1,0.44617,7.5904
1,0.44435,7.57372
1,0.44509,7.59482
1,0.44967,7.59025
1,0.44645,7.58195
1,0.44824,7.57856
1,0.44859,7.57914
1,0.45026,7.58131
1,0.44605,7.57558
1,0.44669,7.58507
1,0.44527,7.58237
1,0.44593,7.58511
1,0.44816,7.57276
1,0.44664,7.57168
1,0.44511,7.56609
1,0.44589,7.58535
1,0.44665,7.58028
1,0.45086,7.60683
1,0.4475,7.57733
1,0.44783,7.56405
1,0.44864,7.59921
1,0.44944,7.60904
1,0.44816,7.5744
1,0.44724,7.57891
1,0.4488,7.58141
1,0.44908,7.60796
1,0.44814,7.57384
1,0.44768,7.6057
1,0.4462,7.57564
1,0.44968,7.57964
1,0.442,7.55283
1,0.44651,7.59206
1,0.44631,7.57507
1,0.45033,7.58422
1,0.44625,7.57825
1,0.44654,7.60373
1,0.44705,7.60882
1,0.44928,7.58321
1,0.44656,7.59567
1,0.44775,7.60238
1,0.44761,7.58155
1,0.44527,7.58575
1,0.44738,7.5548
1,0.44818,7.58349
1,0.44938,7.59455
1,0.44976,7.5602
1,0.44827,7.56929
1,0.44756,7.58087
1,0.44694,7.55786
1,0.45031,7.58013
1,0.44308,7.59169
1,0.44665,7.58416
1,0.44912,7.57912
1,0.44856,7.60305
1,0.44628,7.59261
1,0.44948,7.59012
1,0.44762,7.58461
1,0.44825,7.56351
1,0.44923,7.59918
1,0.4504,7.58092
1,0.44848,7.59513
1,0.44778,7.58751
1,0.44847,7.56414
1,0.44673,7.56866
1,0.44706,7.55619
1,0.44836,7.58303
1,0.44956,7.59895
1,0.44693,7.60503
1,0.44747,7.54956
1,0.44567,7.5833
1,0.44618,7.57557
1,0.44677,7.55385
1,0.4482,7.5821
1,0.44967,7.56739
1,0.44823,7.59773
1,0.44869,7.59506
1,0.448,7.58327
1,0.44631,7.57948
1,0.44645,7.60555
1,0.44799,7.58905
1,0.44744,7.58848
1,0.44904,7.57774
1,0.44581,7.57324
1,0.44665,7.5804
1,0.44871,7.60052
1,0.44936,7.58621
1,0.44918,7.56655
1,0.44496,7.55349
1,0.44711,7.5805
1,0.44857,7.57814
1,0.44764,7.57905
1,0.44646,7.56589
1,0.44917,7.58944
1,0.44721,7.58811
1,0.44489,7.60153
1,0.44708,7.58839
1.06,0.43946,7.5767
1.06,0.44161,7.59707
1.06,0.44172,7.57873
1.06,0.43866,7.60315
1.06,0.43794,7.55764
1.06,0.44322,7.57063
1.06,0.4394,7.57218
1.06,0.44105,7.59868
1.06,0.44214,7.57939
1.06,0.44146,7.56561
1.06,0.44171,7.59352
1.06,0.44092,7.56724
1.06,0.43917,7.59055
1.06,0.4411,7.57793
1.06,0.44087,7.59891
1.06,0.44247,7.57683
1.06,0.43744,7.59965
1.06,0.44303,7.59818
1.06,0.44095,7.55781
1.06,0.4419,7.59075
1.06,0.44162,7.58722
1.06,0.44388,7.56659
1.06,0.44137,7.58432
1.06,0.44005,7.60158
1.06,0.43914,7.5733
1.06,0.44073,7.57233
1.06,0.44319,7.57501
1.06,0.43887,7.6098
1.06,0.44089,7.56916
1.06,0.44279,7.57747
1.06,0.43963,7.59279
1.06,0.43982,7.58648
1.06,0.44209,7.57093
1.06,0.44142,7.54818
1.06,0.44033,7.56175
1.06,0.44079,7.58853
1.06,0.43793,7.55971
1.06,0.4396,7.57362
1.06,0.43991,7.57758
1.06,0.4402,7.58819
1.06,0.43801,7.57968
1.06,0.44262,7.59225
1.06,0.43933,7.55704
1.06,0.44252,7.58299
1.06,0.43872,7.57515
1.06,0.4394,7.55637
1.06,0.44192,7.58544
1.06,0.44166,7.59477
1.06,0.43766,7.5711
1.06,0.43902,7.56164
1.06,0.44166,7.61083
1.06,0.44258,7.58666
1.06,0.43847,7.57466
1.06,0.43863,7.57328
1.06,0.43987,7.55794
1.06,0.44094,7.56982
1.06,0.43863,7.56626
1.06,0.43903,7.59715
1.06,0.43967,7.58424
1.06,0.44102,7.58857
1.06,0.44207,7.58321
1.06,0.43767,7.58011
1.06,0.44094,7.57833
1.06,0.44228,7.60448
1.06,0.4419,7.57112
1.06,0.43883,7.57415
1.06,0.44297,7.57618
1.06,0.44119,7.59355
1.06,0.43977,7.56917
1.06,0.43895,7.57557
1.06,0.43873,7.55767
1.06,0.43788,7.57022
1.06,0.44203,7.5521
1.06,0.44144,7.57589
1.06,0.44133,7.6144
1.06,0.44075,7.58276
1.06,0.44048,7.59638
1.06,0.43863,7.56941
1.06,0.4394,7.59774
1.06,0.44253,7.59539
1.06,0.44139,7.58945
1.06,0.43862,7.5889
1.06,0.44336,7.60336
1.06,0.4392,7.58755
1.06,0.43995,7.59682
1.06,0.43917,7.55005
1.06,0.44034,7.57351
1.06,0.44134,7.61104
1.06,0.43829,7.57864
1.06,0.43684,7.56998
1.06,0.4436,7.56701
1.06,0.44208,7.57374
1.06,0.44031,7.58422
1.06,0.43917,7.56133
1.06,0.43742,7.56524
1.06,0.44,7.57208
1.06,0.44247,7.58113
1.06,0.44048,7.56226
1.06,0.44068,7.57608
1.1236,0.43446,7.60419
1.1236,0.43772,7.59566
1.1236,0.43359,7.57834
1.1236,0.43505,7.56809
1.1236,0.4334,7.59545
1.1236,0.43157,7.57345
1.1236,0.43267,7.58658
1.1236,0.43172,7.58585
1.1236,0.43448,7.57227
1.1236,0.42995,7.57184
1.1236,0.43297,7.62203
1.1236,0.43609,7.59464
1.1236,0.43525,7.59691
1.1236,0.43146,7.55357
1.1236,0.43583,7.5941
1.1236,0.43626,7.60044
1.1236,0.43165,7.57875
1.1236,0.43106,7.58327
1.1236,0.43407,7.59929
1.1236,0.43221,7.59674
1.1236,0.43466,7.59643
1.1236,0.43059,7.59407
1.1236,0.43218,7.59802
1.1236,0.43246,7.57575
1.1236,0.43354,7.58379
1.1236,0.432,7.58209
1.1236,0.43181,7.57257
1.1236,0.43102,7.58675
1.1236,0.43254,7.56724
1.1236,0.4321,7.58481
1.1236,0.43188,7.58173
1.1236,0.43766,7.59862
1.1236,0.43161,7.56491
1.1236,0.4324,7.60339
1.1236,0.43244,7.58922
1.1236,0.43451,7.59569
1.1236,0.42967,7.55291
1.1236,0.43392,7.57933
1.1236,0.43201,7.59528
1.1236,0.43589,7.61565
1.1236,0.43016,7.60346
1.1236,0.43399,7.62872
1.1236,0.43831,7.60818
1.1236,0.43131,7.57217
1.1236,0.43753,7.58035
1.1236,0.43187,7.60489
1.1236,0.43417,7.61387
1.1236,0.4317,7.59002
1.1236,0.43277,7.58371
1.1236,0.43519,7.56102
1.1236,0.43147,7.59523
1.1236,0.43177,7.61148
1.1236,0.43181,7.56016
1.1236,0.42896,7.57335
1.1236,0.43506,7.58983
1.1236,0.43247,7.58685
1.1236,0.43217,7.57742
1.1236,0.43266,7.60054
1.1236,0.43347,7.59988
1.1236,0.43496,7.60068
1.1236,0.43427,7.58148
1.1236,0.43375,7.60185
1.1236,0.43181,7.57276
1.1236,0.43265,7.61244
1.1236,0.43303,7.57178
1.1236,0.43221,7.58407
1.1236,0.4332,7.58482
1.1236,0.42998,7.56627
1.1236,0.43295,7.56921
1.1236,0.43146,7.58157
1.1236,0.4354,7.60592
1.1236,0.43417,7.58977
1.1236,0.43126,7.57011
1.1236,0.43188,7.60208
1.1236,0.43396,7.57468
1.1236,0.43363,7.60186
1.1236,0.43483,7.59715
1.1236,0.43245,7.58199
1.1236,0.43307,7.59504
1.1236,0.43056,7.53665
1.1236,0.4317,7.59134
1.1236,0.43537,7.59386
1.1236,0.43531,7.59731
1.1236,0.43329,7.57678
1.1236,0.43432,7.59741
1.1236,0.43238,7.60286
1.1236,0.43212,7.59066
1.1236,0.43347,7.59823
1.1236,0.43272,7.58653
1.1236,0.42906,7.59184
1.1236,0.43359,7.56807
1.1236,0.43256,7.58434
1.1236,0.43583,7.60832
1.1236,0.43398,7.58492
1.1236,0.43118,7.57909
1.1236,0.43276,7.59616
1.1236,0.43049,7.57904
1.1236,0.43142,7.5425
1.1236,0.4321,7.55449
1.19102,0.42505,7.57153
1.19102,0.42634,7.57539
1.19102,0.42293,7.56968
1.19102,0.42545,7.59263
1.19102,0.42779,7.59242
1.19102,0.42891,7.59742
1.19102,0.42044,7.5717
1.19102,0.42422,7.60331
1.19102,0.42434,7.59186
1.19102,0.42642,7.59028
1.19102,0.42596,7.59197
1.19102,0.42753,7.59056
1.19102,0.42583,7.59093
1.19102,0.4257,7.59612
1.19102,0.42712,7.59093
1.19102,0.42913,7.60032
1.19102,0.4248,7.61738
1.19102,0.42399,7.57448
1.19102,0.42617,7.62235
1.19102,0.42621,7.60715
1.19102,0.42533,7.59142
1.19102,0.42413,7.56932
1.19102,0.42638,7.59191
1.19102,0.42794,7.58801
1.19102,0.42546,7.59292
1.19102,0.425,7.58055
1.19102,0.42879,7.60411
1.19102,0.42479,7.59113
1.19102,0.42463,7.57312
1.19102,0.42659,7.57279
1.19102,0.43004,7.57645
1.19102,0.42614,7.59271
1.19102,0.4226,7.57165
1.19102,0.42789,7.59778
1.19102,0.42533,7.60145
1.19102,0.424,7.5866
1.19102,0.42704,7.59645
1.19102,0.42398,7.60347
1.19102,0.42466,7.59369
1.19102,0.42844,7.60475
1.19102,0.42322,7.5753
1.19102,0.42864,7.58605
1.19102,0.4261,7.59832
1.19102,0.42347,7.58342
1.19102,0.42613,7.57007
1.19102,0.42506,7.60088
1.19102,0.42624,7.59369
1.19102,0.42618,7.58048
1.19102,0.42533,7.57884
1.19102,0.4269,7.58201
1.19102,0.42566,7.58812
1.19102,0.42605,7.58177
1.19102,0.42785,7.60286
1.19102,0.42728,7.61261
1.19102,0.42608,7.60884
1.19102,0.42692,7.6166
1.19102,0.42566,7.57858
1.19102,0.4249,7.60997
1.19102,0.42825,7.58774
1.19102,0.42404,7.59114
1.19102,0.42421,7.55376
1.19102,0.42599,7.60626
1.19102,0.42773,7.60349
1.19102,0.42281,7.58852
1.19102,0.42552,7.58584
1.19102,0.42699,7.6198
1.19102,0.42354,7.58983
1.19102,0.42878,7.60357
1.19102,0.4271,7.58014
1.19102,0.42529,7.56909
1.19102,0.42754,7.59433
1.19102,0.42799,7.61459
1.19102,0.42732,7.60169
1.19102,0.4241,7.59336
1.19102,0.42938,7.59742
1.19102,0.42891,7.59785
1.19102,0.42524,7.57262
1.19102,0.42695,7.59353
1.19102,0.42459,7.56153
