beta,acc,obs
1,0.446275,7.58217
1,0.447615,7.57814
1,0.44585,7.55073
1,0.45062,7.57489
1,0.448585,7.58978
1,0.44641,7.58121
1,0.449525,7.57549
1,0.447865,7.59167
1,0.44798,7.58096
1,0.449345,7.57504
1,0.44598,7.57704
1,0.448475,7.59558
1,0.44835,7.58518
1,0.448375,7.58889
1,0.44913,7.56612
1,0.448875,7.58268
1,0.44873,7.59066
1,0.445895,7.57182
1,0.44796,7.60317
1,0.44705,7.58319
1,0.44818,7.56756
1,0.447625,7.5734
1,0.444875,7.56645
1,0.446,7.59148
1,0.44621,7.57571
1,0.44729,7.56249
1,0.448115,7.56795
1,0.449445,7.56876
1,0.448875,7.592
1,0.447535,7.58614
1,0.447345,7.58701
1,0.4499,7.59665
1,0.446525,7.58632
1,0.447395,7.59438
1,0.448795,7.58713
1,0.44955,7.58238
1,0.447335,7.59306
1,0.44803,7.59303
1,0.45008,7.58867
1,0.44654,7.58566
1,0.45007,7.58
1,0.449045,7.59094
1,0.44494,7.57506
1,0.44746,7.56842
1,0.449315,7.58091
1,0.4472,7.5792
1,0.446685,7.57603
1,0.44967,7.59119
1,0.448505,7.58392
1,0.448625,7.57869
1,0.447565,7.57846
1,0.447775,7.57314
1,0.449135,7.59023
1,0.44919,7.58614
1,0.446705,7.57556
1,0.450095,7.58776
1,0.448425,7.58445
1,0.44748,7.58594
1,0.446605,7.58781
1,0.44888,7.57751
1,0.44869,7.58014
1,0.448405,7.59416
1,0.449625,7.59424
1,0.446605,7.57519
1,0.449585,7.58721
1,0.446875,7.58222
1,0.448175,7.57115
1,0.447435,7.5865
1,0.447745,7.57525
1,0.448385,7.59311
1,0.44645,7.57866
1,0.44708,7.57665
1,0.446515,7.5844
1,0.44869,7.5599
1,0.44678,7.59049
1,0.448475,7.59911
1,0.44765,7.58153
1,0.44819,7.58698
1,0.44521,7.56041
1,0.44918,7.59164
1,0.45051,7.57838
1,0.44727,7.58243
1,0.44775,7.57704
1,0.44772,7.57702
1,0.447085,7.57958
1,0.448135,7.59598
1,0.448775,7.57319
1,0.449495,7.58255
1,0.449445,7.60233
1,0.44944,7.5798
1,0.447705,7.57521
1,0.448875,7.57407
1,0.44876,7.57986
1,0.44783,7.56883
1,0.44784,7.57555
1,0.44637,7.57571
1,0.4478,7.584
1,0.44876,7.59047
1,0.44916,7.58855
1.06,0.439655,7.57869
1.06,0.44124,7.58675
1.06,0.43966,7.58226
1.06,0.441365,7.59341
1.06,0.44031,7.57038
1.06,0.441265,7.60231
1.06,0.438535,7.58194
1.06,0.44274,7.59502
1.06,0.440895,7.58542
1.06,0.437985,7.59496
1.06,0.44002,7.56896
1.06,0.440785,7.58932
1.06,0.438655,7.57409
1.06,0.441515,7.58457
1.06,0.44118,7.59003
1.06,0.442785,7.59503
1.06,0.44014,7.58021
1.06,0.44036,7.56224
1.06,0.441825,7.58673
1.06,0.44129,7.57559
1.06,0.439165,7.57863
1.06,0.44218,7.59209
1.06,0.44094,7.60643
1.06,0.44128,7.59271
1.06,0.441065,7.56829
1.06,0.441185,7.59073
1.06,0.43868,7.56243
1.06,0.44216,7.57964
1.06,0.442405,7.60875
1.06,0.438695,7.57523
1.06,0.44168,7.58818
1.06,0.440315,7.59164
1.06,0.4394,7.57211
1.06,0.440455,7.5853
1.06,0.439625,7.58231
1.06,0.44008,7.5723
1.06,0.44163,7.59325
1.06,0.4401,7.59379
1.06,0.44168,7.59981
1.06,0.43997,7.57519
1.06,0.43983,7.58807
1.06,0.440925,7.58826
1.06,0.44012,7.58634
1.06,0.441475,7.58441
1.06,0.44107,7.60257
1.06,0.441075,7.59247
1.06,0.44058,7.58811
1.06,0.440095,7.60229
1.06,0.43993,7.58905
1.06,0.43971,7.57616
1.06,0.44013,7.57529
1.06,0.44021,7.58739
1.06,0.44079,7.58676
1.06,0.441765,7.58336
1.06,0.439035,7.56277
1.06,0.43838,7.60122
1.06,0.44319,7.59138
1.06,0.441095,7.57976
1.06,0.44219,7.57112
1.06,0.43798,7.57072
1.06,0.44045,7.577
1.06,0.44235,7.58739
1.06,0.44089,7.56997
1.06,0.43881,7.56203
1.06,0.440765,7.57463
1.06,0.44053,7.57758
1.06,0.439395,7.59977
1.06,0.44166,7.56916
1.06,0.44029,7.5728
1.06,0.43935,7.58116
1.06,0.44184,7.57796
1.06,0.43991,7.57656
1.06,0.44056,7.59094
1.06,0.438865,7.59201
1.06,0.438605,7.57969
1.06,0.441375,7.56913
1.06,0.442415,7.58417
1.06,0.44073,7.57455
1.06,0.442175,7.57824
1.06,0.441005,7.5923
1.06,0.441375,7.5853
1.06,0.44009,7.5835
1.06,0.44126,7.56777
1.06,0.43991,7.58409
1.06,0.442145,7.57342
1.06,0.43949,7.57953
1.06,0.44191,7.58471
1.06,0.43869,7.58559
1.06,0.440435,7.59792
1.06,0.439255,7.59964
1.06,0.43867,7.57738
1.06,0.43902,7.59587
1.06,0.43959,7.59327
1.06,0.44047,7.57615
1.06,0.440875,7.58647
1.06,0.442615,7.58862
1.06,0.438605,7.5588
1.06,0.440295,7.59121
1.06,0.44112,7.59731
1.1236,0.432965,7.59971
1.1236,0.432915,7.57891
1.1236,0.43217,7.58813
1.1236,0.432845,7.58603
1.1236,0.43387,7.57885
1.1236,0.43278,7.57147
1.1236,0.4309,7.58197
1.1236,0.436165,7.59485
1.1236,0.434085,7.60464
1.1236,0.43368,7.59386
1.1236,0.43002,7.58015
1.1236,0.433195,7.56777
1.1236,0.43455,7.59025
1.1236,0.43184,7.56966
1.1236,0.431945,7.584
1.1236,0.432215,7.59895
1.1236,0.43343,7.59785
1.1236,0.43218,7.5891
1.1236,0.432855,7.58004
1.1236,0.43363,7.59475
1.1236,0.43231,7.5868
1.1236,0.43219,7.58775
1.1236,0.43383,7.58747
1.1236,0.431945,7.58352
1.1236,0.434205,7.59731
1.1236,0.43497,7.59855
1.1236,0.43131,7.56494
1.1236,0.43431,7.58271
1.1236,0.43353,7.57977
1.1236,0.43196,7.56506
1.1236,0.43261,7.57987
1.1236,0.432485,7.55389
1.1236,0.4339,7.5856
1.1236,0.43024,7.57654
1.1236,0.434845,7.58386
1.1236,0.43171,7.59363
1.1236,0.432755,7.59303
1.1236,0.4328,7.59889
1.1236,0.43605,7.58718
1.1236,0.432945,7.582
1.1236,0.4346,7.57433
1.1236,0.434415,7.58662
1.1236,0.43238,7.58282
1.1236,0.433175,7.60345
1.1236,0.433295,7.58934
1.1236,0.43285,7.58592
1.1236,0.432,7.58338
1.1236,0.435585,7.5832
1.1236,0.43297,7.5842
1.1236,0.43369,7.59728
1.1236,0.43358,7.58896
1.1236,0.431875,7.57983
1.1236,0.4324,7.58296
1.1236,0.43311,7.58623
1.1236,0.431755,7.57596
1.1236,0.433025,7.60082
1.1236,0.432725,7.56356
1.1236,0.433065,7.59873
1.1236,0.43529,7.60146
1.1236,0.43515,7.59176
1.1236,0.433365,7.57526
1.1236,0.433625,7.59266
1.1236,0.434515,7.58567
1.1236,0.434795,7.57984
1.1236,0.43389,7.57494
1.1236,0.43532,7.58818
1.1236,0.432715,7.57823
1.1236,0.43265,7.59569
1.1236,0.432835,7.58418
1.1236,0.434225,7.57595
1.1236,0.43217,7.58442
1.1236,0.43309,7.59676
1.1236,0.43389,7.5935
1.1236,0.433765,7.60058
1.1236,0.433895,7.59495
1.1236,0.433235,7.59744
1.1236,0.43298,7.59266
1.1236,0.43337,7.58625
1.1236,0.43308,7.5814
1.1236,0.43588,7.58965
1.1236,0.43398,7.58322
1.1236,0.434075,7.57764
1.1236,0.433335,7.57716
1.1236,0.432845,7.5851
1.1236,0.435065,7.57818
1.1236,0.43488,7.60059
1.1236,0.434345,7.58258
1.1236,0.432335,7.58111
1.1236,0.433165,7.6105
1.1236,0.43608,7.59732
1.1236,0.43224,7.57495
1.1236,0.433755,7.58927
1.1236,0.434365,7.59972
1.1236,0.43279,7.57805
1.1236,0.43293,7.57955
1.1236,0.431675,7.58245
1.1236,0.431495,7.57757
1.1236,0.434795,7.5758
1.1236,0.43231,7.57009
1.19102,0.427125,7.61761
1.19102,0.42335,7.57131
1.19102,0.42641,7.60583
1.19102,0.42453,7.59055
1.19102,0.426865,7.58359
1.19102,0.426225,7.58648
1.19102,0.425985,7.59852
1.19102,0.424305,7.58337
1.19102,0.425765,7.57333
1.19102,0.42405,7.58186
1.19102,0.423665,7.57117
1.19102,0.42586,7.59356
1.19102,0.42583,7.59822
1.19102,0.42663,7.58974
1.19102,0.424605,7.58877
1.19102,0.424035,7.57883
1.19102,0.42706,7.58901
1.19102,0.42422,7.57244
1.19102,0.426555,7.57965
1.19102,0.422565,7.59074
1.19102,0.426855,7.59419
1.19102,0.423575,7.58188
1.19102,0.42625,7.60001
1.19102,0.42638,7.60587
1.19102,0.423545,7.57996
1.19102,0.42581,7.6012
1.19102,0.424635,7.58318
1.19102,0.4263,7.59371
1.19102,0.4278,7.58621
1.19102,0.425895,7.60327
1.19102,0.42502,7.58395
1.19102,0.427495,7.58475
1.19102,0.42544,7.58532
1.19102,0.42599,7.5864
1.19102,0.42581,7.60251
1.19102,0.42499,7.57258
1.19102,0.429605,7.5937
1.19102,0.427225,7.61129
1.19102,0.425045,7.58601
1.19102,0.42749,7.58957
1.19102,0.42347,7.57342
1.19102,0.42466,7.59634
1.19102,0.425505,7.60112
1.19102,0.425445,7.60222
1.19102,0.425105,7.59162
1.19102,0.424945,7.57429
1.19102,0.426405,7.60067
1.19102,0.426665,7.59403
1.19102,0.425255,7.59669
1.19102,0.424795,7.58226
1.19102,0.42616,7.59375
1.19102,0.42734,7.59942
1.19102,0.425025,7.59513
1.19102,0.42389,7.59019
1.19102,0.42515,7.56734
1.19102,0.42617,7.58755
1.19102,0.425335,7.58276
1.19102,0.423975,7.57186
1.19102,0.42673,7.59087
1.19102,0.42629,7.59003
1.19102,0.427235,7.57669
1.19102,0.42467,7.5929
1.19102,0.425515,7.58766
1.19102,0.425235,7.59601
1.19102,0.42612,7.57541
1.19102,0.425545,7.60689
1.19102,0.4285,7.57825
1.19102,0.42675,7.59397
1.19102,0.425465,7.58641
1.19102,0.42729,7.59176
1.19102,0.4253,7.57715
1.19102,0.426895,7.58614
1.19102,0.426025,7.58163
1.19102,0.426355,7.58509
1.19102,0.424865,7.57823
1.19102,0.425905,7.59721
1.19102,0.42401,7.5723
1.19102,0.42592,7.59169
1.19102,0.42614,7.59048
1.19102,0.426005,7.59372
1.19102,0.426765,7.60741
1.19102,0.425215,7.58251
1.19102,0.424395,7.60358
1.19102,0.426185,7.59276
1.19102,0.42556,7.58111
1.19102,0.426395,7.58906
1.19102,0.427455,7.5972
1.19102,0.424915,7.56368
1.19102,0.42569,7.57759
1.19102,0.42502,7.58732
1.19102,0.425525,7.60238
1.19102,0.42715,7.58782
1.19102,0.425365,7.58644
1.19102,0.42495,7.58686
1.19102,0.424305,7.59343
1.19102,0.426405,7.59266
1.19102,0.42588,7.58774
1.19102,0.426765,7.60457
1.19102,0.423385,7.58939
1.26248,0.419415,7.59506
1.26248,0.41839,7.58623
1.26248,0.417565,7.58414
1.26248,0.41701,7.59618
1.26248,0.41832,7.58308
1.26248,0.418435,7.5875
1.26248,0.41755,7.57212
1.26248,0.42034,7.59565
1.26248,0.41724,7.58721
1.26248,0.416155,7.59686
1.26248,0.417425,7.58119
1.26248,0.42059,7.60267
1.26248,0.41767,7.59949
1.26248,0.41515,7.59503
1.26248,0.41715,7.59292
1.26248,0.415935,7.56857
1.26248,0.41722,7.59581
1.26248,0.41825,7.58032
1.26248,0.41876,7.6004
1.26248,0.41841,7.59885
1.26248,0.419705,7.60405
1.26248,0.41996,7.58591
1.26248,0.41811,7.58963
1.26248,0.417385,7.57183
1.26248,0.418125,7.58611
1.26248,0.41846,7.59264
1.26248,0.41763,7.58351
1.26248,0.417845,7.57786
1.26248,0.41691,7.58216
1.26248,0.421745,7.6055
1.26248,0.41858,7.60557
1.26248,0.41603,7.59183
1.26248,0.418145,7.59833
1.26248,0.41846,7.60282
1.26248,0.419335,7.58074
1.26248,0.419755,7.58779
1.26248,0.42034,7.59064
1.26248,0.418495,7.59765
1.26248,0.41788,7.58741
1.26248,0.416945,7.58725
1.26248,0.417365,7.58026
1.26248,0.417915,7.57684
1.26248,0.418595,7.58508
1.26248,0.418545,7.59288
1.26248,0.417155,7.5779
1.26248,0.418225,7.59503
1.26248,0.41739,7.59348
1.26248,0.417835,7.57378
1.26248,0.41774,7.58566
1.26248,0.41991,7.6071
1.26248,0.418105,7.57238
1.26248,0.418205,7.58664
1.26248,0.416185,7.57957
1.26248,0.41755,7.58719
1.26248,0.417795,7.58937
1.26248,0.41971,7.60145
1.26248,0.41692,7.58021
1.26248,0.4186,7.59781
1.26248,0.41856,7.58755
1.26248,0.41952,7.60076
1.26248,0.41957,7.57876
1.26248,0.418615,7.57422
1.26248,0.417785,7.59425
1.26248,0.41709,7.59275
1.26248,0.41786,7.60577
1.26248,0.415005,7.57111
1.26248,0.416585,7.59859
1.26248,0.417075,7.58179
1.26248,0.421105,7.58979
1.26248,0.41904,7.5787
1.26248,0.419485,7.59706
1.26248,0.417465,7.58638
1.26248,0.41784,7.5862
1.26248,0.41949,7.60141
1.26248,0.420225,7.57887
1.26248,0.419345,7.59849
1.26248,0.415615,7.58208
1.26248,0.41852,7.58334
1.26248,0.41625,7.57988
1.26248,0.419135,7.57834
1.26248,0.41822,7.57212
1.26248,0.418775,7.60378
1.26248,0.41954,7.58656
